metric,param,mu_star,mu_star_conf,sigma
MeanStamina,w_max10_mean,0.06151481255496242,0.0484321899369947,0.13347421467641502
MeanStamina,w_max10_std,0.07764728894990386,0.06368227598480422,0.1546691559063754
MeanStamina,cp_fraction,0.2576382638041838,0.17023229967647888,0.43977233789892745
MeanStamina,recovery_rate,0.04125196759808195,0.027312754948906188,0.0791656783880685
MeanStamina,k_aero,0.009962837997581813,0.01227589543762056,0.032108018447402686
MeanStamina,c_roll,0.015677857755328362,0.013692983658980544,0.03700959162776815
MeanStamina,ref_speed_frac,0.611247314165303,0.2325252848881834,0.5819130950012494
MeanStamina,k_s,0.12617083658566225,0.09156815417039979,0.22984871598472667
MeanStamina,breakaway_speed_frac,0.16367895001039517,0.12183981812467135,0.2642253564637995
MeanStamina,breakaway_cooldown_steps,0.02952116104310302,0.03214923469973485,0.0787908316090519
MeanStamina,utility_decay,0.012731502778981756,0.012030414144556066,0.03215433217027953
MeanStamina,evo_noise,0.013693222396780697,0.011275574808960334,0.031685628623098185
MeanStamina,sim_scale,0.0,0.0,0.0
MeanStamina,evo_bottom_frac,0.038093450724236935,0.02528251395553962,0.06653032775024212
MeanStamina,evo_top_frac,0.024351714116127552,0.017623655084578495,0.045931069986490956
MeanStamina,imitation_mu,0.01874050336458259,0.01202600358449268,0.034445423116706494
MeanStamina,n_agents,0.02290924572623477,0.020398935164244295,0.0435620555302326
MeanStamina,n_teams,0.015041058659480263,0.012319006365780708,0.033584652069133504
NumGroups,w_max10_mean,4.726999844689939,1.5144132513016826,4.5785446119825535
NumGroups,w_max10_std,13.501126320499836,5.973204970337393,15.930244931886309
NumGroups,cp_fraction,11.377383937041612,8.201256056702306,19.724132090889434
NumGroups,recovery_rate,2.1187250157163398,2.4378723808730305,5.761975181479888
NumGroups,k_aero,1.6578926934914573,2.088512427607588,5.105674818054998
NumGroups,c_roll,1.0305716624742773,0.30800609400208845,1.1836617986861404
NumGroups,ref_speed_frac,27.107477534065293,11.968739813046948,29.138007004210362
NumGroups,k_s,13.511976872391367,8.368332251859863,17.636807570865276
NumGroups,breakaway_speed_frac,7.7029834850632515,4.633479810724514,11.558496346027654
NumGroups,breakaway_cooldown_steps,2.623127399985948,3.0250288490453947,6.065397228540115
NumGroups,utility_decay,0.230861281630847,0.1792573452080528,0.4962677554852173
NumGroups,evo_noise,0.34400550371613026,0.23642669691687637,0.7200436191955858
NumGroups,sim_scale,0.0,0.0,0.0
NumGroups,evo_bottom_frac,1.346203171200957,1.103317638663054,3.1635956574844255
NumGroups,evo_top_frac,0.47746997083646575,0.35428968092528546,0.8984972158413348
NumGroups,imitation_mu,1.52621197515536,1.444207417887168,3.5679037431350062
NumGroups,n_agents,39.90080601440828,9.68801462788915,24.026224871901185
NumGroups,n_teams,0.6910806236280471,0.7840293357057088,1.710493461113411
Breakaways,w_max10_mean,7.339820804496767,2.4891262898330835,8.80542217684525
Breakaways,w_max10_std,20.0213918891668,8.047367251343461,24.211459647833227
Breakaways,cp_fraction,25.893147724846045,17.193984522740912,41.62642958882623
Breakaways,recovery_rate,5.112135766336739,6.7575681775297785,14.703624668359028
Breakaways,k_aero,3.483000134339375,4.225191251312997,11.515931627898125
Breakaways,c_roll,2.586447063455969,1.430340778138255,4.487679311313291
Breakaways,ref_speed_frac,47.37392532615727,28.456786874490568,66.17465238265468
Breakaways,k_s,13.745512231548503,8.37935455344366,19.375951917595746
Breakaways,breakaway_speed_frac,24.37891034759405,18.397360763899353,44.66330981078713
Breakaways,breakaway_cooldown_steps,9.477444552896142,2.3686224122453035,7.938914803927032
Breakaways,utility_decay,1.9650083817044135,0.9168461298001231,2.6476563318004667
Breakaways,evo_noise,0.7230140039214534,0.3872795944781192,1.2515257629512626
Breakaways,sim_scale,0.0,0.0,0.0
Breakaways,evo_bottom_frac,4.7407540746018295,2.7470644234963175,8.152787748587613
Breakaways,evo_top_frac,1.639775803041759,0.5625054375241662,2.231486971071508
Breakaways,imitation_mu,3.0705030315616195,2.7017637674401196,6.7539110726133815
Breakaways,n_agents,76.85730725425395,16.165829129621372,41.754209660068156
Breakaways,n_teams,1.3366531598913063,0.4648434607240675,1.5847333097505492
MeanExposure,w_max10_mean,0.07626487328704587,0.05592002656091217,0.12247621051504382
MeanExposure,w_max10_std,0.1104932787097872,0.059055396897747914,0.14066368926938647
MeanExposure,cp_fraction,0.19063752073512674,0.11996739165775812,0.27014698152289596
MeanExposure,recovery_rate,0.04745782235237064,0.041542737223691686,0.10734877849081767
MeanExposure,k_aero,0.02382300815806455,0.0262924203094473,0.06532642609152907
