sample_idx,generation,run_dir,recovery_rate,breakaway_speed_frac,utility_decay,k_s,slice_distance,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_finished,n_agent_rows
0,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0000/gen_0149,0.15587359704077247,0.9541149717755616,0.8363614396192134,0.712541391607374,0.6122291342034835,1743.1818181818182,0.5650226363389564,0.79374185136897,0.5597316296985407,-4.189339739071335,-4.218612209202234,176,153400
1,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0001/gen_0149,0.09667037623003126,0.9541149717755616,0.8363614396192134,0.712541391607374,0.48547479523486375,1771.0227272727273,0.4017757296648525,0.7982098171318576,2.509087546922753,-4.186432347094586,-3.867234686083759,176,155850
2,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0002/gen_0149,0.15587359704077247,0.9986756914295256,0.8363614396192134,0.712541391607374,0.6122291342034835,1778.4431818181818,0.6735410962767768,0.8515938991584826,-0.17732724164411054,-4.639946354435366,-4.607324426961082,176,156503
3,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0003/gen_0149,0.15587359704077247,0.9541149717755616,0.7277374361641705,0.712541391607374,0.521829697531886,1729.284090909091,0.5828195869779575,0.8010474644657208,0.2592765935512568,-4.261911463650777,-3.536455699041816,176,152177
4,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0004/gen_0149,0.15587359704077247,0.9541149717755616,0.8363614396192134,0.8411583519540726,0.6122291342034835,1527.0113636363637,0.6182150993335044,0.8569249201872344,3.8904954475296503,-0.3678963639492141,-2.3023167242540525,176,134377
5,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0005/gen_0149,0.15587359704077247,0.9541149717755616,0.8363614396192134,0.712541391607374,0.6122291342034835,1788.2622950819673,0.5275294152744417,0.5098822925451946,3.7604418198336935,-4.833398079058479,-1.4483444054383887,61,54542
6,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0006/gen_0149,0.09667037623003126,0.9986756914295256,0.7277374361641705,0.8411583519540726,0.3649212206312557,1545.4426229508197,0.701838775353643,0.8330363204344874,-3.77457177907546,-1.9449085207757926,0.975421722491991,61,47136
7,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0007/gen_0149,0.11521263704635204,0.9198507915250957,0.14216451179236175,0.8986723468638956,0.304079008741012,1543.7037037037037,0.5708678352012831,0.7789827255278311,0.864981956342258,-0.46894698765043463,0.8815487287545742,27,20840
8,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0008/gen_0149,0.16112062805332245,0.9198507915250957,0.14216451179236175,0.8986723468638956,0.4992041660004315,1560.5185185185185,0.39749176727484653,0.6909384345184412,2.130020668621859,2.221282778459486,-2.7195968530569075,27,21067
9,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0009/gen_0149,0.11521263704635204,0.8788309562951326,0.14216451179236175,0.8986723468638956,0.304079008741012,1498.148148148148,0.7012852590463382,0.22526576019777503,-2.2272902335167886,0.3770107938380939,-1.6804514960766226,27,20225
10,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24244290-94c6e10-sobol-dump/sobol/sample_0010/gen_0149,0.11521263704635204,0.9198507915250957,0.18156975973397493,0.8986723468638956,0.26321701026413147,1540.4444444444443,0.5240547663257351,0.7689940373148683,1.175415237187724,-0.5079164972402576,0.5937445685021553,27,20796
