metric,param,mu_star,mu_star_conf,sigma
MeanStamina,w_max10_mean,0.08918575697830429,0.054762628910058564,0.1322037960628244
MeanStamina,w_max10_std,0.10178122022166566,0.05798302824604511,0.16554134953143892
MeanStamina,cp_fraction,0.5479190848962455,0.22746668257994396,0.7702761135968796
MeanStamina,recovery_rate,0.05871988665920084,0.034604915134720186,0.0926237859210706
MeanStamina,k_aero,0.0327796638362307,0.022826673781255108,0.06833994796270693
MeanStamina,c_roll,0.053018968888849785,0.035376672512871445,0.08524043489192235
MeanStamina,ref_speed_frac,0.7748014765086635,0.21362271495553814,0.5236611807675308
MeanStamina,k_s,0.2156426097234964,0.12565486463469946,0.3581239885357579
MeanStamina,breakaway_speed_frac,0.17954949298965778,0.1162553854242801,0.34543623117518485
MeanStamina,breakaway_cooldown_steps,0.026343970126798077,0.020809438505525506,0.05096592323051086
MeanStamina,utility_decay,0.042146969564681926,0.03248894330553756,0.08347061895007978
MeanStamina,evo_noise,0.025952496752126096,0.016397335503226664,0.04406994124306765
MeanStamina,sim_scale,0.0,0.0,0.0
MeanStamina,evo_bottom_frac,0.02043108002618188,0.019415743953690674,0.04518003008718491
MeanStamina,evo_top_frac,0.01680772794508539,0.009407036953181232,0.02560043690035508
MeanStamina,imitation_mu,0.04803285521117827,0.033907956193383236,0.08777858711176358
MeanStamina,n_agents,0.13981955495758633,0.09836168218139653,0.3122316671643542
MeanStamina,n_teams,0.030549878872272517,0.01612682722090601,0.052114439469960014
NumGroups,w_max10_mean,5.658503263594911,2.2835482733624795,6.87893748564676
NumGroups,w_max10_std,10.292662450379206,4.935311675339542,11.371481311965427
NumGroups,cp_fraction,12.04668970469066,7.1333762945962835,21.26605205690937
NumGroups,recovery_rate,2.1448522392548375,1.8596404570701477,5.017874440277179
NumGroups,k_aero,0.744500068122092,0.4552179096620125,1.2074345836819163
NumGroups,c_roll,1.5793370497518966,1.0186524987492809,2.593439751903715
NumGroups,ref_speed_frac,32.174775159848096,15.041101671746214,38.93437473938461
NumGroups,k_s,17.623023758431085,9.086423573790924,25.770032635595673
NumGroups,breakaway_speed_frac,7.716593859820042,5.496019634043114,13.497217280681289
NumGroups,breakaway_cooldown_steps,1.0383088703027354,0.7399247404343438,2.0249391188503454
NumGroups,utility_decay,2.195289507141417,2.3873042642439457,5.771601981622571
NumGroups,evo_noise,0.45928487445435906,0.4077446233496431,0.9914788313453895
NumGroups,sim_scale,0.0,0.0,0.0
NumGroups,evo_bottom_frac,2.492268350322982,2.252032942858069,5.666218235766637
NumGroups,evo_top_frac,0.4139488388595902,0.3536270754466112,0.9266030119628411
NumGroups,imitation_mu,1.7688840814563598,1.089427273126377,3.0900844813230233
NumGroups,n_agents,40.65493685233886,10.012474770110904,32.069004521305224
NumGroups,n_teams,1.342477510780054,0.897096910647288,2.631867225995292
Breakaways,w_max10_mean,6.956012581421719,3.8764374888269932,11.346123508780263
Breakaways,w_max10_std,10.554722921235784,4.428751631709447,13.65988383771439
Breakaways,cp_fraction,24.871621742067322,16.488212649205476,41.51554780911593
Breakaways,recovery_rate,1.5564648688601785,1.0982349880064148,2.9241186559838463
Breakaways,k_aero,1.1888203963668302,0.5398587786788436,1.7868343956142752
Breakaways,c_roll,1.8784771019859299,0.7439349762120813,2.503087506855072
Breakaways,ref_speed_frac,52.2630195464839,21.64118053423703,65.73528732180009
Breakaways,k_s,25.52799916995395,14.35683530995658,35.84099746133492
Breakaways,breakaway_speed_frac,13.250652015896444,10.863406374298131,25.387637440527918
Breakaways,breakaway_cooldown_steps,5.50763984665693,2.1643894411145452,5.071201567485975
Breakaways,utility_decay,5.4877548389243,4.178915839856262,9.70146632011603
Breakaways,evo_noise,0.4978105996833223,0.2520859086914708,0.7113060832978685
Breakaways,sim_scale,0.0,0.0,0.0
Breakaways,evo_bottom_frac,3.2095780338491706,2.063000234287992,5.415397762615118
