metric,param_1,param_2,S2,S2_conf
MeanStamina,recovery_rate,breakaway_speed_frac,-0.0034368354115000277,0.02557556283489467
MeanStamina,recovery_rate,utility_decay,0.012481847309381133,0.028457499290662634
MeanStamina,recovery_rate,k_s,0.010357548218552975,0.032826328128047116
MeanStamina,recovery_rate,n_agents,0.01619163523146775,0.029235314726424315
MeanStamina,breakaway_speed_frac,utility_decay,-0.042894804873851694,0.10885863924940417
MeanStamina,breakaway_speed_frac,k_s,0.24759030139479413,0.1094069903118187
MeanStamina,breakaway_speed_frac,n_agents,-0.03354902064023621,0.1081132614496252
MeanStamina,utility_decay,k_s,-0.012302519258734573,0.028666810184213073
MeanStamina,utility_decay,n_agents,0.0013089979193270653,0.03193490311419995
MeanStamina,k_s,n_agents,0.04546276468315985,0.11237063079175887
NumGroups,recovery_rate,breakaway_speed_frac,-0.001103121700405496,0.020283828735495918
NumGroups,recovery_rate,utility_decay,0.0009836660353669193,0.020091633337643564
NumGroups,recovery_rate,k_s,-0.0031342952106470645,0.020353199792051368
NumGroups,recovery_rate,n_agents,0.00371595809697689,0.02108894228072085
NumGroups,breakaway_speed_frac,utility_decay,-0.03302489306796357,0.09862763747814605
NumGroups,breakaway_speed_frac,k_s,-0.0003285467227753247,0.10703421563358605
NumGroups,breakaway_speed_frac,n_agents,-0.044741270363549274,0.10113589553183489
NumGroups,utility_decay,k_s,0.008699758698151538,0.01435342931170966
NumGroups,utility_decay,n_agents,0.015235229343489504,0.016600785221172226
NumGroups,k_s,n_agents,0.03570573402130575,0.0990653559835447
Breakaways,recovery_rate,breakaway_speed_frac,-0.014322487892538538,0.01819996722100436
Breakaways,recovery_rate,utility_decay,-0.008572068842703994,0.018321172040268747
Breakaways,recovery_rate,k_s,-0.006746399630254196,0.018521998513061272
Breakaways,recovery_rate,n_agents,-0.00753798905188291,0.019483717368226825
Breakaways,breakaway_speed_frac,utility_decay,-0.05284989774074907,0.13493726587450905
Breakaways,breakaway_speed_frac,k_s,-0.05961237319725976,0.14943625681540781
Breakaways,breakaway_speed_frac,n_agents,-0.037527307807765586,0.14778838969161553
Breakaways,utility_decay,k_s,0.006435966389343628,0.016714874575422874
Breakaways,utility_decay,n_agents,0.011664452024871458,0.017186622381765427
Breakaways,k_s,n_agents,0.006701441958101906,0.06381587712558053
MeanExposure,recovery_rate,breakaway_speed_frac,0.008597979965300984,0.02242268862426868
MeanExposure,recovery_rate,utility_decay,0.014588262277132572,0.02274375201575554
MeanExposure,recovery_rate,k_s,0.008089699808885242,0.028590375042095367
MeanExposure,recovery_rate,n_agents,0.012775205136431003,0.023108895267624645
MeanExposure,breakaway_speed_frac,utility_decay,-0.030236865761389724,0.10186626386901902
MeanExposure,breakaway_speed_frac,k_s,0.014685059887921958,0.1321734162842786
MeanExposure,breakaway_speed_frac,n_agents,-0.05580202100012533,0.11003025173555428
