metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,-0.007398001947711248,0.02178255178992039,0.030714952276864303,0.006134326591018749
MeanStamina,breakaway_speed_frac,0.48965116860129565,0.10156219049871482,0.7696016527326623,0.10303510939283589
MeanStamina,utility_decay,0.012750706673328425,0.022913960063130685,0.02577358888545849,0.004005527628992545
MeanStamina,k_s,0.1865017575804789,0.0984961727837332,0.5393051832827339,0.07359617939307493
MeanStamina,n_agents,-0.00041867602679149083,0.032672554815543965,0.06464786610203933,0.01741341631382316
NumGroups,recovery_rate,0.006082081196883861,0.013875310602442483,0.012284550020617093,0.002523421688019319
NumGroups,breakaway_speed_frac,0.321091763417063,0.07168634934164636,0.3964938890557066,0.0622767809110137
NumGroups,utility_decay,-0.003612570404359038,0.011810148570384956,0.007515330111162745,0.0024728500110127822
NumGroups,k_s,0.45536896561886314,0.08972577286222386,0.5719495211797203,0.08292074866863071
NumGroups,n_agents,0.15983765559425892,0.05757091471089227,0.24374255731014996,0.0418670850362092
Breakaways,recovery_rate,0.010769993976067361,0.013136670989514782,0.010132356886395714,0.0032346253856017013
Breakaways,breakaway_speed_frac,0.5776270121147172,0.10540240355196553,0.6564466250664638,0.09585008892885884
Breakaways,utility_decay,-0.0009506456089298026,0.014686486908434153,0.007137692296550977,0.003794283208935059
Breakaways,k_s,0.18311406655698215,0.06601435799425619,0.2658320494079457,0.0600884513386637
Breakaways,n_agents,0.15120539523998844,0.06649821180482834,0.26324799792955617,0.05158247828879726
MeanExposure,recovery_rate,-0.007464814423346853,0.015238044453018178,0.021203490230690552,0.0034695437592162505
MeanExposure,breakaway_speed_frac,0.5313237672478895,0.09046620371060503,0.6130517553728969,0.08302145298776681
MeanExposure,utility_decay,-0.006094354240741736,0.013544145630494749,0.011023638913101921,0.002724899955154892
MeanExposure,k_s,0.4013931570686529,0.09082377390609911,0.5012278673046704,0.06364153896972977
MeanExposure,n_agents,0.028564254740490076,0.03187478734094075,0.06446406850414396,0.029611982723679615
TotalTime,recovery_rate,-0.0013653370751710232,0.0020071280142351586,0.0002323760353784968,5.333872568838155e-05
TotalTime,breakaway_speed_frac,0.001574974220232194,0.01087160122694672,0.00981228645802718,0.002761219736138018
TotalTime,utility_decay,-0.00019776954695879833,0.0015630912083240541,0.00013123998995199178,4.245695764254349e-05
TotalTime,k_s,0.02004920405942234,0.02250258723131388,0.036346543772465795,0.006210469102990629
TotalTime,n_agents,0.9675781532218818,0.11217452563545163,0.9872021564422679,0.09462866277230726
MeanTime,recovery_rate,-0.0005850134887938553,0.012061290148960102,0.008071179591171493,0.002230413852829099
MeanTime,breakaway_speed_frac,0.023480364233363433,0.054410670829169894,0.24928831127160497,0.05533179414896066
MeanTime,utility_decay,0.005794938145841115,0.007213166485497098,0.0050127251831509154,0.0020125510485421733
MeanTime,k_s,0.6864296042013993,0.1113018846930394,0.944647058938092,0.12131076965457056
MeanTime,n_agents,0.019567126572788113,0.023018300748371738,0.04291581639131611,0.019512606647786784
TotalStaminaSpent,recovery_rate,0.01184564809376537,0.015380230070517559,0.02056882066848669,0.006737148359533741
TotalStaminaSpent,breakaway_speed_frac,0.23218120779603713,0.08129475482390841,0.518413656220554,0.10799685229600256
TotalStaminaSpent,utility_decay,0.008463760285807571,0.011354221282423761,0.011243954181560316,0.002547932244730511
TotalStaminaSpent,k_s,0.25700650648334483,0.09098669850556151,0.6002604844555965,0.10686887735829821
TotalStaminaSpent,n_agents,0.20599903298207944,0.0699184188810379,0.43056430876168184,0.07200009403426412
MeanStaminaSpent,recovery_rate,0.002514993741007526,0.018470651591327346,0.027469687931181458,0.005556425901018208
MeanStaminaSpent,breakaway_speed_frac,0.30379932936386944,0.10578611182775308,0.6442333002585031,0.09488362756723963
MeanStaminaSpent,utility_decay,0.016781042229761692,0.015451005101598648,0.016172980047787854,0.0033836273458468604
MeanStaminaSpent,k_s,0.3517196835601471,0.09188859419500635,0.7347674746894899,0.07481186497533594
MeanStaminaSpent,n_agents,-0.0003613351833042786,0.030318136343582682,0.06145806765948585,0.017894320457787646
