ks_bin_label,breakaway_bin_label,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_runs
0.716,0.858,1534.179245912579,0.9988647590500986,0.5807201413012892,-1.2457251681420123,1.603903108832238,0.5535480705842689,3
0.716,0.873,1505.6915137614678,0.9988344972512881,0.5950237659328619,-0.5866497120224037,2.1675346660293777,1.2563697454641118,4
0.716,0.888,1664.5185185185185,0.3068045136677408,0.2936228917271149,0.6706339135625242,-2.497452138139982,3.2936989747960816,1
0.716,0.903,1677.5527978916664,0.4267060503336121,0.588345826438259,1.2251147277403738,-3.243587087898467,-0.049137277520855324,8
0.716,0.917,1701.4495871367646,0.43498599324790893,0.6809855692667045,0.6106575169379975,-3.996005802321024,-0.5437605554686994,6
0.716,0.932,1762.6605714285713,0.3725833338564167,0.49589900408357446,2.008533966538983,-3.394344257984243,-0.45471784749390576,5
0.716,0.947,,,,,,,0
0.716,0.962,1765.5665881737311,0.4426635585081305,0.7606643466761044,0.8988804791036887,-3.5811615405551307,-2.1496000361495144,3
0.716,0.976,1802.8178271304118,0.4098005557815519,0.7444146710257015,1.3397592973781962,-3.67985510002645,-1.844711277279357,8
0.716,0.992,1777.200645871677,0.5690458730467931,0.8181508249575762,1.056823661609035,-3.756032264904223,-3.8379666603526115,6
0.746,0.858,1536.9799864743609,0.9988546170900509,0.4633247683239852,-0.8774277182856065,1.9087003876629984,0.7155033610235839,9
0.746,0.873,1491.4835164835165,0.9988317757009346,0.7618419598452754,-0.6051831067113739,1.8623612647631562,1.5064274627964302,1
0.746,0.888,1545.7198412698413,0.48989927034930486,0.36566250927469435,2.133953463589977,1.100721285881726,-0.6480894804279254,2
0.746,0.903,1574.651439299124,0.32437512833714327,0.6836011262571831,3.157864234855544,-1.2620993410513541,-1.8219818954085334,5
0.746,0.917,1681.7406102351754,0.4184284336205988,0.6239572253832047,0.8001426578379295,-2.48188382652366,-1.657710845601352,3
0.746,0.932,,,,,,,0
0.746,0.947,1745.8191372457757,0.5749190094169868,0.6655942198118889,1.2311834187642725,-3.7152776754214014,-2.977251557199867,9
0.746,0.962,1724.0330472209782,0.46613539232778645,0.7201465665153185,1.143847498103938,-3.459029464855318,-2.4505501769329663,6
0.746,0.976,1713.053112330477,0.5901052615040274,0.8367690460699413,0.14875323848663574,-3.34050335831298,-2.6722913841140463,8
0.746,0.992,1743.8642712619799,0.5567955641091621,0.7608638365502258,1.1238633682352723,-3.588438198865097,-3.4283429399337413,4
0.776,0.858,1538.575407925408,0.9988636363636364,0.5664613863591446,-0.2945788662546758,1.6253082669462888,0.9743231279747846,2
0.776,0.873,1504.7454783436458,0.9988365135746852,0.6091739938424293,-0.2862920520685408,2.0108377259832353,0.8569595761241816,2
0.776,0.888,1527.3804215867567,0.6348483126895585,0.4790715072570725,-1.5574212435369525,0.011870559374739447,0.8845271518647042,10
0.776,0.903,1612.1724325428065,0.39894818884526634,0.6943564335786976,-0.770744863346201,-2.4035343281381856,0.3271553979988162,9
0.776,0.917,1611.8976190476192,0.3846930568011895,0.569620816590291,2.7600215449184358,-1.1424478118094674,-1.5505728839823505,5
0.776,0.932,1673.8448574351364,0.41089984609228675,0.5791997789635285,1.3009544772519572,-1.7893855913465857,-0.5924386203437993,5
0.776,0.947,1648.9483607893162,0.4372449946443,0.751557634981563,2.9322082882956466,-1.940113415552327,-2.0104346972744644,6
0.776,0.962,1658.5270228085499,0.4914567278301094,0.7547310104639501,0.5623745215629282,-1.9701558190831154,-1.8753906616545761,7
0.776,0.976,1673.2099506578948,0.46073690083700203,0.8204027244245622,4.169566494825039,-1.8618486061818116,-1.8483558884101061,2
0.776,0.992,1718.6785714285713,0.5163032499397922,0.6813374062298693,0.693403722348029,-4.9117361905042145,-0.4250733879360728,1
0.805,0.858,1525.0068926106574,0.9988563803226939,0.6372741900186174,-0.8241935686650417,0.8761691828625656,0.8418614874091569,7
0.805,0.873,1508.188679245283,0.9988439306358381,0.7133468444800294,-1.0416512571732701,1.14292029679244,0.8014380235857823,1
0.805,0.888,1524.2420222193207,0.5110845747833409,0.7311022048261854,-1.6045136274899445,-1.2247872305734964,2.7566081595339873,6
0.805,0.903,1551.254218990967,0.5774611989897622,0.7426234669544083,0.766218895025725,-1.4517538570214097,1.5469846279230157,5
0.805,0.917,1578.23,0.5424609502721333,0.5998371900262505,-0.8387733574670523,-2.3088743885448197,-2.119429731563551,2
0.805,0.932,1605.4379357676246,0.43882067452203516,0.6024221187090698,3.5305499779803067,-0.9383923694380005,-2.039507672609729,3
0.805,0.947,1594.098263888889,0.4258411604920596,0.6197541832081515,3.6031384091664536,-1.0081335837561058,-3.6599226173766493,2
0.805,0.962,1604.5439527659353,0.47917093322654336,0.6641775329352083,3.868856323601716,-1.4962794663999166,-1.7403057653285656,5
0.805,0.976,1576.112359550562,0.63578323880279,0.8500791308439197,4.054884297617758,-0.9770418080593051,-2.396463114531634,1
0.805,0.992,1607.0101931829506,0.6226582406073521,0.861629553446153,0.9342641491100604,-2.2385628923397,-2.670699407178666,10
0.835,0.858,1528.9394951931129,0.9988545090047231,0.4436508005527074,0.1805205278595494,0.7130483749647847,0.2861803183152795,6
0.835,0.873,1502.2886528658973,0.9988378766862227,0.5392662680876271,-0.3384241750664834,0.9657931282992913,0.3885798316342403,6
0.835,0.888,1505.5781848659005,0.6168876655814465,0.7120835927302567,-0.16623350095846748,-0.8705121051109757,1.4940896587141541,3
0.835,0.903,1550.9113924050635,0.5125730377969806,0.6382912536592685,0.12361701478551768,-1.8163715128372913,1.6041091580647384,2
0.835,0.917,1529.6245147515529,0.6934016016129567,0.8808995782288007,-0.35945008735430495,-3.153877663366904,1.0847364185187236,4
0.835,0.932,1550.9502251345414,0.5498409478469611,0.675234392321018,1.279256071809208,-1.1100128563320726,-2.2423539725376878,7
0.835,0.947,1559.227513659453,0.5328793003733587,0.7700133980158055,0.7759347018128215,-1.8125600016349888,-2.9117194625008054,7
0.835,0.962,1542.0366972477063,0.6312942576169149,0.8359967158886734,2.0590632467926335,-2.1027705237296743,-2.349491126839878,1
0.835,0.976,1562.7740625000001,0.6511012190022316,0.8905177326932717,-0.3391190903690495,-2.7818300715128843,-3.0162434760202466,4
0.835,0.992,1551.7168055824773,0.6571851525208903,0.8167987797205782,4.291271046779261,-0.8246964997056025,-3.6713881474060956,2
0.865,0.858,1505.510831555516,0.9988490495972239,0.593638679291388,-0.9572828420054508,0.381490294730328,0.22802011526701566,7
0.865,0.873,1488.03136333,0.9988376163805727,0.6781942226218757,-0.9378840085905312,0.5536426952097815,0.38598405711298867,3
0.865,0.888,1489.746184961944,0.6985352116373691,0.7505614065594235,1.158143360758053,-0.8990653393579061,1.1587975121541634,9
0.865,0.903,,,,,,,0
0.865,0.917,1492.6747990815156,0.5545880571434144,0.7614153633094457,0.8352652409066712,-2.147722890740185,0.20937432036590875,6
0.865,0.932,1522.0482949133168,0.708847814668004,0.8375214422153272,0.1878625320778617,-2.9225604679376342,0.02623054587618978,2
