sample_idx,generation,run_dir,recovery_rate,breakaway_speed_frac,utility_decay,k_s,slice_distance,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_finished,n_agent_rows
0,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0000/gen_0099,0.0755342763848602,0.9083804361522198,0.6311366642825306,0.7648775650188326,0.30692600829456385,1638.8795811518326,0.4402751208970317,0.8295604837936785,-0.8694092021081604,-3.932039141804773,-0.10556995653556331,191,156513
1,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0001/gen_0099,0.1220207734964788,0.9083804361522198,0.6311366642825306,0.7648775650188326,0.29834873004611656,1607.5811518324608,0.30338467143130227,0.7545204658555014,-2.168728615392772,-2.567123105128335,-1.297596881454519,191,153524
2,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0002/gen_0099,0.0755342763848602,0.8801246742717922,0.6311366642825306,0.7648775650188326,0.30692600829456385,1487.1727748691098,0.9988317757009346,0.7592395704981517,-0.8342358712485901,1.7372069554808298,1.0494822283462102,191,142025
3,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0003/gen_0099,0.0755342763848602,0.9083804361522198,0.6953836126253009,0.7648775650188326,0.3695126637525605,1628.4502617801047,0.45572041925163653,0.831941202569494,-0.7893095570704983,-2.950852816750753,-1.516401436422959,191,155517
4,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0004/gen_0099,0.0755342763848602,0.9083804361522198,0.6311366642825306,0.9849608378484844,0.30692600829456385,1379.6230366492146,0.6096441643191833,0.9119419524264918,0.13650873276807352,-1.6313043903458644,-3.8052067947933126,191,131754
5,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0005/gen_0099,0.0755342763848602,0.9083804361522198,0.6311366642825306,0.7648775650188326,0.30692600829456385,1684.6666666666667,0.5740492873678916,0.5484236908059623,-1.8136002351233638,-1.646091535005036,-0.13517068456363573,45,37905
6,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0006/gen_0099,0.1220207734964788,0.8801246742717922,0.6953836126253009,0.9849608378484844,0.3624196446469323,1480.6222222222223,0.6612680545157485,0.33670528906765923,0.4084715953787103,2.147759461890337,-0.3183053509559153,45,33314
7,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0007/gen_0099,0.1479134956840426,0.9790827126707882,0.2657965257763862,0.8967286938801408,0.3569362906535245,1430.8915662650602,0.9913730411298436,0.999174834124819,-0.35453101201746456,-1.9890367358703285,-4.224170265139732,83,59382
8,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0008/gen_0099,0.1924609441310167,0.9790827126707882,0.2657965257763862,0.8967286938801408,0.6426831156484727,1420.9397590361446,0.993300522398953,0.9983211517916193,0.7804743475271765,-2.966678606179309,-3.9675726831722136,83,58969
9,99,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24277275-9b1b60f-sobol-dump/sobol/sample_0009/gen_0099,0.1479134956840426,0.9733310462441296,0.2657965257763862,0.8967286938801408,0.3569362906535245,1427.012048192771,0.7041673965574848,0.9672244642947603,-0.08341694206915029,-2.2736863644394165,-5.633806552182629,83,59221
