metric,param,mu_star,mu_star_conf,sigma
MeanStamina,recovery_rate,0.08333422827364265,0.005507930997352941,0.10412869567386392
MeanStamina,breakaway_speed_frac,0.3050293327695012,0.02722714567349568,0.356344039015431
MeanStamina,utility_decay,0.06833574709403624,0.00457352515083539,0.08641705433454917
MeanStamina,k_s,0.3249045137147816,0.013742144350546581,0.31495507449458177
NumGroups,recovery_rate,3.3640860945755047,0.27361983912856325,3.854625738533609
NumGroups,breakaway_speed_frac,16.043983732995112,0.7885694876369085,10.481060488118514
NumGroups,utility_decay,2.493817112538104,0.31639754538167925,4.424700818699014
NumGroups,k_s,54.331770268079104,0.9776250136659541,11.8687757142074
Breakaways,recovery_rate,3.996635139491808,0.37159580342171256,5.457025897933711
Breakaways,breakaway_speed_frac,30.75497402840705,2.3372300369409826,27.280472381793825
Breakaways,utility_decay,2.290781783757148,0.4292971399577662,5.642200874077063
Breakaways,k_s,51.140825998850595,2.2116776657288444,26.01037639469775
MeanExposure,recovery_rate,0.08059534177474047,0.004935405580287429,0.08264347339746853
MeanExposure,breakaway_speed_frac,0.30430394382984177,0.012884963804549345,0.19596723329806076
MeanExposure,utility_decay,0.06799839067660324,0.00612791283657319,0.08906549960949918
MeanExposure,k_s,0.6377036592885308,0.01728681764272572,0.21449465420747554
