metric,param_1,param_2,S2,S2_conf
MeanStamina,recovery_rate,breakaway_speed_frac,-0.029857697787104842,0.034908414196412815
MeanStamina,recovery_rate,utility_decay,-0.020497082457164646,0.03190281936358633
MeanStamina,recovery_rate,k_s,0.006509206531740308,0.02881573818822806
MeanStamina,recovery_rate,n_agents,-0.014595237055074779,0.03316176059912121
MeanStamina,breakaway_speed_frac,utility_decay,0.006664344617416848,0.10613997380612072
MeanStamina,breakaway_speed_frac,k_s,0.2739605747140538,0.14353652553902208
MeanStamina,breakaway_speed_frac,n_agents,0.01400410048279423,0.10742366078579836
MeanStamina,utility_decay,k_s,0.016968179015524137,0.02604141460568714
MeanStamina,utility_decay,n_agents,-0.001288294395236293,0.02706965652920174
MeanStamina,k_s,n_agents,0.05693024235361559,0.11527375262418796
NumGroups,recovery_rate,breakaway_speed_frac,-0.005474191940218087,0.019360670459735625
NumGroups,recovery_rate,utility_decay,-0.01105214380674592,0.01920123485739277
NumGroups,recovery_rate,k_s,0.004554961700135973,0.02030355461046169
NumGroups,recovery_rate,n_agents,-0.011115025944328893,0.020119448141617823
NumGroups,breakaway_speed_frac,utility_decay,-0.00042263109363999303,0.07276867300648855
NumGroups,breakaway_speed_frac,k_s,0.042778238530515544,0.08991146188287424
NumGroups,breakaway_speed_frac,n_agents,0.035704964484856605,0.08510395866835709
NumGroups,utility_decay,k_s,-0.009699714051378983,0.0141281490784004
NumGroups,utility_decay,n_agents,-0.014399489450611855,0.013624950921030972
NumGroups,k_s,n_agents,0.01841963620758369,0.09599590957008368
Breakaways,recovery_rate,breakaway_speed_frac,0.008678945732933041,0.017672485061008786
Breakaways,recovery_rate,utility_decay,0.0010609330749212342,0.02062902899241342
Breakaways,recovery_rate,k_s,0.0073965649891389595,0.021091428357604018
Breakaways,recovery_rate,n_agents,0.006147744435880814,0.02025094510747408
Breakaways,breakaway_speed_frac,utility_decay,-0.03324615865833902,0.13604623724042994
Breakaways,breakaway_speed_frac,k_s,0.0029867528991787407,0.1557397902112623
Breakaways,breakaway_speed_frac,n_agents,0.025880599360212087,0.16687254734906648
Breakaways,utility_decay,k_s,-0.006659887565705097,0.010881163659147212
Breakaways,utility_decay,n_agents,-0.008264920623900746,0.010909081787059427
Breakaways,k_s,n_agents,-0.03767168339473559,0.09897880233807248
MeanExposure,recovery_rate,breakaway_speed_frac,-0.012890568650897327,0.024370743035403514
MeanExposure,recovery_rate,utility_decay,-0.017412772010600406,0.02300872394278665
MeanExposure,recovery_rate,k_s,0.004858349774067849,0.024500417385960017
MeanExposure,recovery_rate,n_agents,-0.014240788867195176,0.023114154633228773
MeanExposure,breakaway_speed_frac,utility_decay,-0.0010221130127218638,0.08867056043958337
MeanExposure,breakaway_speed_frac,k_s,0.04317949960874634,0.1009875267063037
MeanExposure,breakaway_speed_frac,n_agents,-0.0013876543972752373,0.08883125184969087
MeanExposure,utility_decay,k_s,0.0028391091228958665,0.019913315460496534
MeanExposure,utility_decay,n_agents,-0.0016485265926645017,0.019321281766208148
MeanExposure,k_s,n_agents,-0.007767470090033821,0.10307885965829144
TotalTime,recovery_rate,breakaway_speed_frac,-0.0009236865054089473,0.0031791188346708766
TotalTime,recovery_rate,utility_decay,-0.0011453118960550019,0.0031946212572912074
TotalTime,recovery_rate,k_s,-0.0008280876185631728,0.0035407236169233422
TotalTime,recovery_rate,n_agents,-0.0018695683438029187,0.0032654127826830266
TotalTime,breakaway_speed_frac,utility_decay,0.004127696582663957,0.012330615416172643
TotalTime,breakaway_speed_frac,k_s,0.01134986701474452,0.012202145809263897
TotalTime,breakaway_speed_frac,n_agents,0.01576201909101327,0.014024796099492542
TotalTime,utility_decay,k_s,-0.0016570489637847338,0.0017487130497206003
TotalTime,utility_decay,n_agents,-0.0011913125486949783,0.0021332509983044913
TotalTime,k_s,n_agents,0.025829300767855057,0.0469473412816619
MeanTime,recovery_rate,breakaway_speed_frac,-0.01273844217559384,0.02623902394836731
MeanTime,recovery_rate,utility_decay,-0.0210340768928853,0.028797012983156293
MeanTime,recovery_rate,k_s,-0.0006373892684126137,0.031539064532961646
MeanTime,recovery_rate,n_agents,-0.014431416468200717,0.028713969505137542
MeanTime,breakaway_speed_frac,utility_decay,-0.028648470833332502,0.09009208436971809
MeanTime,breakaway_speed_frac,k_s,0.1853537036481161,0.09276677569415605
