metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,0.004793272864497776,0.02199649324146986,0.02954225676160389,0.005011368583587211
MeanStamina,breakaway_speed_frac,0.44297401447867507,0.0993480788810579,0.7821276362226695,0.09830747307254364
MeanStamina,utility_decay,0.004687513237404054,0.020437309892517352,0.028706028242925924,0.00598375026994097
MeanStamina,k_s,0.19691110532240755,0.1019505483893669,0.5476286153638993,0.08001780524934071
MeanStamina,n_agents,-0.0026348613509740324,0.03990290757819839,0.08732809520698681,0.033064563502911495
NumGroups,recovery_rate,-0.0028848758181929048,0.013164130877758048,0.013233413369770094,0.0033836211440244845
NumGroups,breakaway_speed_frac,0.259229845911778,0.07635855683046851,0.3706677788943395,0.0555308466546439
NumGroups,utility_decay,0.008142072987670059,0.009706018413318534,0.007119430047924417,0.0021429959219522493
NumGroups,k_s,0.3950790869324087,0.07243565720169845,0.5282967709012053,0.0796333663392173
NumGroups,n_agents,0.13005514759070058,0.05734488880347208,0.22888970845192594,0.03780615217613059
Breakaways,recovery_rate,-0.008145789486047434,0.011962023128262757,0.013147935042433534,0.00483723125468487
Breakaways,breakaway_speed_frac,0.5095989844131732,0.11143050970356404,0.6311740988012527,0.09213818262643124
Breakaways,utility_decay,0.0059605906372319235,0.006921517673552957,0.005389306127339162,0.0026095250212154275
Breakaways,k_s,0.14477169980204282,0.05155167511580002,0.21858501211668524,0.04870434883643176
Breakaways,n_agents,0.1412500901594375,0.06764446381287081,0.28342683079311504,0.0576654255854794
MeanExposure,recovery_rate,0.0014450453256938298,0.01685238378472784,0.020926048724249857,0.003858266433135991
MeanExposure,breakaway_speed_frac,0.4840919804598848,0.08310859606561932,0.5622390263902363,0.0737766357067721
MeanExposure,utility_decay,-0.002394371467123908,0.012105028808064291,0.01101708578916581,0.00282496311416825
MeanExposure,k_s,0.3827576676380887,0.07513621891971359,0.4746525066207946,0.053664821405008854
MeanExposure,n_agents,0.004649800394964496,0.028093196062707968,0.056499544528757384,0.018372660333610086
TotalTime,recovery_rate,0.0010834862713225446,0.002070751932510954,0.0004011174368572811,0.0001224589413532543
TotalTime,breakaway_speed_frac,-0.006266665526121732,0.008755379614611931,0.006300322307269684,0.0014660715940918699
TotalTime,utility_decay,0.0011865813527959484,0.0013129793242895936,0.00016992273666080642,8.268445867824427e-05
TotalTime,k_s,0.013146373786280868,0.026321091170097764,0.03810117966795065,0.006631414693491077
TotalTime,n_agents,0.9614069918441236,0.10219869807055383,0.9799790209216965,0.08848159010598776
MeanTime,recovery_rate,0.0018298412905286643,0.019498750942040562,0.012026461998682151,0.003883613324642485
MeanTime,breakaway_speed_frac,0.02036659961119113,0.046954749246466504,0.24625920046684552,0.05548637748099468
MeanTime,utility_decay,0.0052727556570502645,0.012547584976931956,0.0065799696048912905,0.003988387763292062
MeanTime,k_s,0.73720771460588,0.12322527916130459,0.9800862727206618,0.10625641262625088
MeanTime,n_agents,0.032545581004298864,0.03325885493638389,0.06639623631861494,0.0344493735244918
TotalStaminaSpent,recovery_rate,0.0032283115522168198,0.014495746520463757,0.015360723299551023,0.003438046161245957
TotalStaminaSpent,breakaway_speed_frac,0.12101989019894871,0.06991988178569292,0.49426988972465286,0.10506808208949944
TotalStaminaSpent,utility_decay,0.002534906428317496,0.014146585359822822,0.014364161676799663,0.005714598412710106
TotalStaminaSpent,k_s,0.16577353499255978,0.09096794473086436,0.6107224445379543,0.11536528191650987
TotalStaminaSpent,n_agents,0.2139510095802733,0.09366272360359382,0.403957313503748,0.0742303625506507
MeanStaminaSpent,recovery_rate,-0.0007427229305375584,0.01995273119010817,0.023949657379685976,0.004369859674850513
MeanStaminaSpent,breakaway_speed_frac,0.25011584411843374,0.08029904893528267,0.6471742706591888,0.0943075389316708
MeanStaminaSpent,utility_decay,-0.0018649012824310542,0.017526261148697722,0.018664521888522984,0.005019228927111262
MeanStaminaSpent,k_s,0.31929893815769667,0.11459835661803708,0.7445662916306338,0.09329418503570026
MeanStaminaSpent,n_agents,-0.0014132595154088786,0.03165022341038123,0.07157626303839594,0.02672202374160956
