parameter,S1,S1_conf,ST,ST_conf
recovery_rate,0.011581503265307054,0.06670397210184907,0.10388912304050031,0.05688481513550524
breakaway_speed_frac,0.03064483597234626,0.10070744548054629,0.22941917590201197,0.08719922107321176
logit_lambda,-0.026829764689974,0.044195429664831816,0.0424158266859394,0.01717927636590808
k_s,0.8487057182275363,0.20326726900025538,1.0443725629131912,0.22855975418812657
