param_i,param_j,S2,S2_conf
recovery_rate,breakaway_speed_frac,0.15653537174379964,0.12883285718534854
recovery_rate,logit_lambda,0.08750397780637763,0.1530692937041024
recovery_rate,k_s,0.04517961205964323,0.1407553304846418
breakaway_speed_frac,logit_lambda,0.1221368476424478,0.20438452060148407
breakaway_speed_frac,k_s,0.4376509343409859,0.33767873178124563
logit_lambda,k_s,0.04550206596002897,0.15005030386013402
