parameter,S1,S1_conf,ST,ST_conf
recovery_rate,-0.05059104464983819,0.10660710424926016,0.1981628771135017,0.10992736611610585
breakaway_speed_frac,0.23859657374403873,0.2400973755580864,0.7920802907438214,0.23745610058618208
logit_lambda,-0.01326083274496804,0.09806778015899176,0.115754368146592,0.06976410470414436
k_s,0.12306815389744742,0.1663453107699531,0.5783965730999321,0.21433245724191843
