ks_bin_label,breakaway_bin_label,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_runs
0.714,0.857,1532.3581612286857,0.9988572276762753,0.584598393016018,-0.6194800999162614,2.1361341314888707,0.9322089695433023,46
0.714,0.873,1506.934384343671,0.9988374330335398,0.6039389291094167,-0.6439423831528969,2.2346378506764943,1.0149082533162928,27
0.714,0.887,1553.685490756311,0.504244141248975,0.6045916068984845,0.000817968634586469,-0.5531571571272248,0.9011486545445311,32
0.714,0.903,1645.5746648648,0.36175996704674135,0.6223611034981439,0.579782843631582,-2.5482019204310404,-0.7521641229050291,31
0.714,0.917,1725.6740938283513,0.36345014035966156,0.5750453080741144,1.8009851120809732,-3.3345633928630694,-0.22373098460756916,42
0.714,0.932,1752.260597575266,0.41166751040710126,0.6269575093553431,1.7126279467650785,-3.7474921913243384,-1.2760723769273483,38
0.714,0.948,1780.0982015897166,0.4200817390901931,0.6798241709697428,2.095941389924777,-3.7232283017363783,-1.7045163768419982,38
0.714,0.962,1791.448907131905,0.4240557744400826,0.7349593588720418,1.1037940131614643,-3.8511997116475065,-1.6557250730060022,31
0.714,0.978,1805.5174962597557,0.4170271878336214,0.7134375702514665,0.8414366920932631,-3.6108055423644134,-1.9605606898988746,35
0.714,0.992,1811.2370872027666,0.47861133811225676,0.7058931478645931,1.0909037558310126,-3.913747109303854,-2.45888905984266,37
0.745,0.857,1532.4109890063532,0.9988580981816458,0.6043056379940333,-1.0432617773465256,1.9343947426934618,0.8651637391324613,33
0.745,0.873,1504.1293321584526,0.9988384945688131,0.6256096885025333,-1.0410020188257123,1.914869723476626,0.9221269930728592,44
0.745,0.887,1535.8003831525682,0.5129191571340452,0.5591169811130279,0.7661278233987229,-0.7224181246231297,1.0327966110030642,31
0.745,0.903,1635.7401792773994,0.3514778086562472,0.5651472154752054,1.63235101839521,-2.3360403010110278,0.35646330256212855,40
0.745,0.917,1688.2577585418426,0.42555940439107,0.6713240420700024,1.4919743785755197,-3.0250723968035853,-0.7269069198659585,36
0.745,0.932,1697.439347500928,0.48270446730538397,0.7130337905697864,1.7706988360427687,-3.0026264735142383,-0.9028984702872247,34
0.745,0.948,1722.8218355577192,0.4680011993383558,0.7148534627672201,1.1554249699530936,-3.1205007750388565,-1.9464965330287851,28
0.745,0.962,1730.4278104189973,0.49310640215163615,0.7396310010165348,1.1300607362508939,-3.2284904047672707,-2.270683807693604,43
0.745,0.978,1741.9020972090716,0.5435757402230794,0.7549069431585207,0.5385921305573838,-3.5550389602437042,-2.8536476756924234,40
0.745,0.992,1737.6617093818495,0.5878880555571462,0.8053985208241453,0.43905705869961414,-3.6535444760828013,-3.2541300341905854,35
