sample_idx,generation,run_dir,recovery_rate,breakaway_speed_frac,utility_decay,k_s,slice_distance,mean_finish_time,mean_stamina,group_time_frac,coop_alpha,leave_alpha,follow_alpha,n_finished,n_agent_rows
0,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0000/gen_0149,0.1259959557559341,0.9440358959604056,0.7188614323735237,0.9505950043909251,0.3948531512065765,1359.8,0.6434467176831221,0.9613546109722018,-0.5413041544179807,-2.070575014405997,-5.467125041684352,80,54392
1,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0001/gen_0149,0.1508397341705858,0.9440358959604056,0.7188614323735237,0.9505950043909251,0.4909592966006534,1415.975,0.5740960370393083,0.8861032150991366,3.757225399365775,-2.291142753145315,-2.6579760804031816,80,56639
2,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0002/gen_0149,0.1259959557559341,0.999147520493716,0.7188614323735237,0.9505950043909251,0.3948531512065765,1371.15,0.8095676268256548,0.9877110454727783,0.510271072279388,-1.6729582323949295,-4.921473123846131,80,54846
3,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0003/gen_0149,0.1259959557559341,0.9440358959604056,0.6441280107013881,0.9505950043909251,0.3222774637823383,1316.95,0.9855931271959024,0.9992406697292988,-0.2370924904291986,-2.14471103486495,-6.262444975841509,80,52678
4,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0004/gen_0149,0.1259959557559341,0.9440358959604056,0.7188614323735237,0.8099725502543151,0.3948531512065765,1589.75,0.39575832624664525,0.6014782198458877,5.278949277415479,-0.601371631577737,-2.0289817431410127,80,63590
5,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0005/gen_0149,0.1259959557559341,0.9440358959604056,0.7188614323735237,0.9505950043909251,0.3948531512065765,1400.0,0.6464801799951582,0.9277299412915851,-2.4452883351913597,-2.1178958114506634,-3.0676725434173058,73,51100
6,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0006/gen_0149,0.1508397341705858,0.999147520493716,0.6441280107013881,0.8099725502543151,0.43473530287155326,1623.945205479452,0.4057686507534218,0.6520228093261801,3.2349913642990575,-1.274427137882099,-4.56082061460488,73,59274
7,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0007/gen_0149,0.0610939531587064,0.8601293348241598,0.5114779431372881,0.8090427432209253,0.28788785063419564,1515.1160220994475,0.9988826815642458,0.7734724835543109,-0.6920103887337564,1.3896526829205096,1.0940431557453463,181,137118
8,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0008/gen_0149,0.055286862514913,0.8601293348241598,0.5114779431372881,0.8090427432209253,0.3233192601287313,1515.1160220994475,0.9988826815642458,0.7734724835543109,-0.6920103887337564,1.3896526829205096,1.0940431557453463,181,137118
9,149,/gpfs/work5/0/prjs2142/gsa-agent-dump-per-run/24227442-94c6e10-sobol-dump/sobol/sample_0009/gen_0149,0.0610939531587064,0.8734133415389805,0.5114779431372881,0.8090427432209253,0.28788785063419564,1493.3259668508288,0.9988344988344988,0.7598153108490078,0.16224171074519275,1.4235238705789006,0.7396288509498368,181,135146
