road_length,road_width,n_agents,n_teams,rider_length,rider_width,w_max10_mean,w_max10_std,cp_fraction,recovery_rate,k_aero,c_roll,ref_speed_frac,group_radius,k_s,breakaway_speed_frac,breakaway_cooldown_steps,learning_rate,evo_noise,sim_scale,evo_bottom_frac,evo_top_frac,imitation_mu,logit_lambda,n_finished,sum_finish_time,sum_stamina_spent
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.3,2.666666666666667,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.06833333333333333,2.033333333333333,0.05,1.0,0.5,0.1,40.0,57412.0,0.0
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.3,6.0,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.06833333333333333,2.033333333333333,0.05,1.0,0.5,0.1,40.0,57666.0,22212.690423207147
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.3,6.0,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.06833333333333333,2.033333333333333,0.05,0.6666666666666667,0.5,0.1,40.0,52762.0,7186.3134474655435
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.3,6.0,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.005,2.033333333333333,0.05,0.6666666666666667,0.5,0.1,40.0,52506.0,8687.047211618385
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.005,2.033333333333333,0.05,0.6666666666666667,0.5,0.1,40.0,39308.0,31065.80715288988
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,0.7999999999999999,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,0.1,40.0,39308.0,31065.80715288988
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.55,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,0.1,40.0,49630.0,79846.956148253
10000.0,12.0,40.0,5.0,2.0,0.7333333333333334,500.0,120.0,0.75,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,0.1,40.0,44414.0,0.0
10000.0,12.0,40.0,5.0,2.0,0.4,500.0,120.0,0.75,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,0.1,40.0,44414.0,0.0
10000.0,12.0,40.0,5.0,2.0,0.4,500.0,120.0,0.75,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,3.3666666666666667,40.0,44414.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.14666666666666667,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,3.3666666666666667,40.0,44418.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.9666666666666667,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,3.3666666666666667,40.0,44418.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,4.333333333333333,1.0,0.7,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,3.3666666666666667,40.0,44418.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.5,3.3666666666666667,40.0,44418.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,5.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,40.0,44418.0,0.0
10000.0,12.0,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,40.0,44418.0,0.0
10000.0,7.333333333333334,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,40.0,44416.0,0.0
20000.0,7.333333333333334,40.0,5.0,1.0,0.4,500.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,40.0,88796.0,0.0
20000.0,7.333333333333334,40.0,5.0,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,40.0,113238.0,0.0
20000.0,7.333333333333334,146.66666666666666,5.0,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,410246.0,0.0
20000.0,7.333333333333334,146.66666666666666,18.333333333333332,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,0.7999999999999999,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,410246.0,0.0
20000.0,7.333333333333334,146.66666666666666,18.333333333333332,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,1.0,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.05,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,386784.0,47977.454780276814
20000.0,7.333333333333334,146.66666666666666,18.333333333333332,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,1.0,1.0,1.0,0.7,15.0,0.10666666666666666,0.005,0.1,0.35,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,377152.0,30384.590853429396
20000.0,7.333333333333334,146.66666666666666,18.333333333333332,1.0,0.4,300.0,120.0,0.75,0.4,0.16666666666666669,6.0,1.0,1.0,1.0,0.7,15.0,0.3,0.005,0.1,0.35,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,377152.0,30384.590853429396
20000.0,7.333333333333334,146.66666666666666,18.333333333333332,1.0,0.4,300.0,60.0,0.75,0.4,0.16666666666666669,6.0,1.0,1.0,1.0,0.7,15.0,0.3,0.005,0.1,0.35,0.6666666666666667,0.8333333333333333,3.3666666666666667,147.0,325206.0,40313.52982734796
5000.0,12.0,93.33333333333334,11.666666666666668,1.5,0.5666666666666667,500.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.9666666666666667,15.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,47530.0,0.0
5000.0,12.0,93.33333333333334,11.666666666666668,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.9666666666666667,15.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57624.0,0.0
5000.0,12.0,93.33333333333334,11.666666666666668,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.9666666666666667,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57624.0,0.0
5000.0,12.0,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.9666666666666667,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57624.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.9666666666666667,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57586.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.7,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57852.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,60.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,57852.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,1.0666666666666669,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,59580.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,3.0,0.05,0.8333333333333333,0.6666666666666667,0.1,93.0,59580.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,3.0,0.05,0.8333333333333333,0.6666666666666667,3.3666666666666667,93.0,59582.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.2033333333333333,0.1,3.0,0.35,0.8333333333333333,0.6666666666666667,3.3666666666666667,93.0,59596.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.02,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,0.6666666666666667,3.3666666666666667,93.0,59596.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,0.6666666666666667,3.3666666666666667,93.0,59596.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,4.333333333333333,0.8999999999999999,1.0,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,59608.0,0.0
5000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,4.333333333333333,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,59632.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,4.333333333333333,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,178904.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.5666666666666667,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,1.0,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,169294.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,1.0,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.1,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,169242.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.16666666666666669,1.0,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,169190.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,1.0,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,205142.0,0.0
15000.0,7.333333333333334,93.33333333333334,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,0.7999999999999999,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,93.0,204276.0,0.0
15000.0,7.333333333333334,200.0,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,0.7999999999999999,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.8333333333333333,1.0,3.3666666666666667,200.0,446478.0,0.0
15000.0,7.333333333333334,200.0,25.0,1.5,0.9,300.0,120.0,0.85,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,0.7999999999999999,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.5,1.0,3.3666666666666667,200.0,447128.0,0.0
15000.0,7.333333333333334,200.0,25.0,1.5,0.9,300.0,120.0,0.65,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,0.7999999999999999,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.5,1.0,3.3666666666666667,200.0,395646.0,93.30702758542344
15000.0,7.333333333333334,200.0,25.0,2.5,0.9,300.0,120.0,0.65,0.2733333333333333,0.3,1.0,0.8999999999999999,4.333333333333333,0.7999999999999999,0.7,5.0,0.01,0.03666666666666667,3.0,0.35,0.5,1.0,3.3666666666666667,200.0,406002.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,600.0,90.0,0.65,0.02,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.9666666666666667,20.0,0.01,0.1,0.1,0.5,0.6666666666666667,1.0,3.3666666666666667,147.0,264088.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,600.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.9666666666666667,20.0,0.01,0.1,0.1,0.5,0.6666666666666667,1.0,3.3666666666666667,147.0,264088.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,600.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.9666666666666667,20.0,0.01,0.03666666666666667,0.1,0.5,0.6666666666666667,1.0,3.3666666666666667,147.0,264088.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,600.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.01,0.03666666666666667,0.1,0.5,0.6666666666666667,1.0,3.3666666666666667,147.0,264088.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,600.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.01,0.03666666666666667,0.1,0.5,1.0,1.0,3.3666666666666667,147.0,264088.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.01,0.03666666666666667,0.1,0.5,1.0,1.0,3.3666666666666667,147.0,309750.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,90.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.01,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,309750.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.01,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,307786.0,0.0
20000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,307786.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.1,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,153778.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,4.333333333333333,0.7,6.0,0.8999999999999999,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,199872.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,4.333333333333333,0.7,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,199872.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,4.333333333333333,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.5,1.0,0.6666666666666667,3.3666666666666667,147.0,182772.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,4.333333333333333,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,0.1,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,182772.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,4.333333333333333,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,182772.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,2.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,176622.0,0.0
10000.0,7.333333333333334,146.66666666666666,25.0,1.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,176862.0,0.0
10000.0,7.333333333333334,146.66666666666666,11.666666666666668,1.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,6.0,0.7,0.7,20.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,176810.0,0.0
10000.0,7.333333333333334,146.66666666666666,11.666666666666668,1.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,6.0,0.7,0.7,10.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,147.0,176838.0,0.0
10000.0,7.333333333333334,40.0,11.666666666666668,1.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,6.0,0.7,0.7,10.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,40.0,48292.0,0.0
10000.0,7.333333333333334,40.0,11.666666666666668,1.0,0.9,400.0,30.0,0.65,0.2733333333333333,0.2333333333333333,1.0,0.8999999999999999,2.666666666666667,0.7,0.7,10.0,0.2033333333333333,0.03666666666666667,2.033333333333333,0.2,1.0,0.6666666666666667,3.3666666666666667,40.0,48286.0,0.0
