generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.895364252758333,7.1895261845386536,19.139650872817956,0.1896867783871833,0.5124494430724248,0.10518154818286506,20.006585391946466,0.10696606210282582,0.9973828673661339,0.1009083768510709,-2.9946003231237417,0.0891216903959957,2.994820720039709,0.09644691817233565,-20.008024137511857,0.10462798334857386,-0.0052873606380891966,0.10391820689434171,-0.0052833957206371756,0.11183345972734328,-20.00778450404926,0.10544797032142621,-0.006632188017468308,0.10101059188827906,-0.017915480827388707,0.09139927506004294,-0.004965637333841126,0.09528114380830661,0.0,0.0,0.0,0.0,0.0
1,0,0.8925371721377194,6.224438902743142,19.51122194513716,0.18812539375731513,0.5173242469868449,0.10002816614134956,20.006822227682928,0.09600217804100712,0.9914613911697677,0.09593249105056287,-2.9896441488890946,0.08565924502441183,2.9983562388010863,0.08738204873505488,-20.008593147646575,0.095984423276408,-0.006396775711203404,0.09656656035097169,-0.0033136044715710855,0.10155823790817212,-20.00331567236295,0.10551261897962076,-0.004795196147230155,0.10965224873831789,-0.01600834279905142,0.08610157873486016,0.0018043742557984337,0.09164376353293148,0.0,0.0,0.0,0.0,0.0
2,0,0.8933583390543464,6.231920199501247,19.476309226932667,0.18817903530518174,0.5255680864045997,0.09799883341926453,20.00771571619946,0.08560897023827475,0.9892678317435086,0.08662866711796854,-2.9896445431670102,0.08162457701945462,2.993360218041417,0.08029768164421129,-20.013825536305017,0.0920836651347807,-0.014175166913348875,0.09621995722319056,0.0036688199892804117,0.09959085116340792,-20.011742533035424,0.09532196039314172,0.002980567160430334,0.11037374805746342,-0.015431895915280212,0.08294392905370157,0.010531592859820383,0.09114338836431983,0.0,0.0,0.0,0.0,0.0
3,0,0.8945728252720381,6.743142144638404,19.45137157107232,0.18878704698303087,0.5225082756775828,0.09556178846868729,20.011553610046278,0.08484575225205981,0.9913511780248361,0.08533172563805785,-2.9912722064545387,0.07912811612930923,2.9927693638659307,0.07578484676131736,-20.010943577421855,0.08690827455406018,-0.02125424131042627,0.08781557475784318,0.008675815845091616,0.09718932297726683,-20.01681438150171,0.08301210690630913,0.012942207116458845,0.10534151668580215,-0.01480725255062416,0.0827734347274998,0.010344740784270464,0.09389844928965448,0.0,0.0,0.0,0.0,0.0
4,0,0.8955147000365717,6.279301745635911,19.26932668329177,0.18597691863160132,0.5302013426318359,0.090036441024684,20.010177849840264,0.08132637627583049,0.9813142718122461,0.08229713461636831,-2.982747696282966,0.07816440876308907,2.997328186226773,0.07321556332424788,-20.014626656028035,0.08391300620348566,-0.017012797967560903,0.08894050695876171,0.009347995809783417,0.1026416623786307,-20.013831370752573,0.0868522877536335,0.00610860197559199,0.10725431421729308,-0.02107753057098509,0.07927083711248889,0.003341810538834076,0.08903974605491577,0.0,0.0,0.0,0.0,0.0
5,0,0.8903288797619708,6.379052369077307,19.59351620947631,0.19122231829848466,0.5332284892824781,0.09106885396242953,20.011829000587596,0.08073838902545824,0.9807677769110409,0.08146380859001423,-2.979580308731898,0.07430016999047395,2.9966489808951127,0.07007074058725392,-20.012462499241533,0.08861928702712123,-0.014091057256338125,0.08916679967418016,0.008992247844485879,0.09740326115918202,-20.015983713896127,0.0850438600564412,0.00936232147404384,0.106713311767127,-0.020120115010713174,0.07821027615424814,0.005672089556866387,0.08704397419639373,0.0,0.0,0.0,0.0,0.0
6,0,0.8921962971006556,6.43640897755611,19.503740648379054,0.19089327361145614,0.5360855562434718,0.08890415373540829,20.01273096236351,0.07610993084908044,0.9830000509550691,0.07813118945682339,-2.980297942469675,0.07257756463769773,2.9987421646080152,0.06907244180197905,-20.004717482708074,0.08792884691445862,-0.00953424320428512,0.08668084960812684,0.00640654760068897,0.09895124194770845,-20.014896336521883,0.08641045846346462,0.004059083568261919,0.11049761520360152,-0.02315012375021855,0.07485077897803259,0.0027635270912312825,0.08178077045583261,0.0,0.0,0.0,0.0,0.0
7,0,0.8937650085597295,6.56857855361596,19.55361596009975,0.1904284549145003,0.5415454200106187,0.08755786869937927,20.01280797782979,0.07292509723559755,0.976017184327466,0.0743597250600844,-2.9780223797691927,0.0708002533022684,2.9945963206653556,0.06802262900921494,-20.004876597702896,0.08476892012909873,-0.012957615416698855,0.08755398593067489,0.013732931142960328,0.09844053575065827,-20.021550615237626,0.08351912067366936,0.013966366286507636,0.10017287111945815,-0.025859419953953678,0.07702647787951569,0.005245716247767625,0.0821299997098334,0.0,0.0,0.0,0.0,0.0
8,0,0.8887620494741434,7.179551122194514,19.59351620947631,0.19231250572871392,0.5497045126903584,0.0773795071565683,20.017276960148855,0.07335983592217929,0.9729470031064907,0.07525500712473052,-2.9755841360502404,0.06574225488327312,2.994499645787954,0.06758314293607005,-20.007335079043774,0.08597536307665335,-0.01521156345099599,0.08812584643489288,0.010211573086313045,0.09219037989437705,-20.019990090669985,0.0834355810980996,0.010782497134442622,0.09656326681750572,-0.026445729899139236,0.07518099939467333,0.003568734128011275,0.07899768568473156,0.0,0.0,0.0,0.0,0.0
9,0,0.8961541977048981,6.967581047381546,19.286783042394013,0.1885204809171821,0.5485050576762867,0.07680688067683748,20.017089510705556,0.07192015479747418,0.9764371746853446,0.07253646578174225,-2.974081014874707,0.0650299100880639,2.9927383691575757,0.06907267107892268,-20.00520245798928,0.07973140032618578,-0.011068283246885182,0.08143683851869468,0.011443737611492645,0.10182824848821337,-20.01887178467823,0.08319956344796982,0.010163005301918413,0.10194987542155852,-0.03871343690284962,0.07710644975573609,-0.001362706179535675,0.07893252042092139,0.0,0.0,0.0,0.0,0.0
