seed,agent_slot,w_max10,change_l2,change_mean_abs,change_rel_mean_abs
66,0,515.5477202775546,0.0,0.0,0.0
66,1,481.2523211964496,0.0,0.0,0.0
66,2,451.7404280014542,0.0,0.0,0.0
66,3,523.8478778445849,0.0,0.0,0.0
66,4,444.8294195876348,0.0,0.0,0.0
66,5,585.1095198544695,0.0,0.0,0.0
66,6,345.6991632683789,0.0,0.0,0.0
66,7,408.37405585633724,0.0,0.0,0.0
66,8,521.1569780320215,0.0,0.0,0.0
66,9,414.59681958849177,0.0,0.0,0.0
66,10,415.1092259801351,0.0,0.0,0.0
66,11,456.98859560263776,0.0,0.0,0.0
66,12,455.51510475294725,0.3746424331947853,0.07743962911763545,0.6233769612212886
66,13,424.78604323586467,0.29807936554088404,0.06608542045079066,1.2330461027771176
66,14,423.1095272166928,0.417693645101454,0.0957584730974002,1.0405294112595522
66,15,481.1320041759164,0.5256664525142363,0.14267760633912052,1.412026018256326
66,16,439.7145049509288,0.36921941509918343,0.09042947813718358,3.728831648528886
66,17,375.45088758370997,0.37971652497293523,0.09515047728565731,1.576431789196019
66,18,366.6728574117441,0.38782255065402793,0.10218844466912605,0.9631932025114404
66,19,447.42590086274987,0.45622099777804337,0.1011256181761501,2.6151127691987517
66,20,554.7151170422226,0.4133478131526337,0.08779760467079295,0.40590777073889256
66,21,291.4381017304354,0.4580293914952922,0.12404546449097856,6.177086012067401
66,22,353.81632916370756,0.3296232295273308,0.07941069707310025,4.032060206098156
66,23,551.925605254161,0.5361545125839099,0.1324747282545265,0.7610925601181241
66,24,423.8448312192372,0.3070262689027383,0.07179827388814312,0.8237768207304448
66,25,348.18714832885325,0.32765283047102584,0.05834832657383267,0.30867010645951637
66,26,495.64908633575,0.3187820663533727,0.07253982944962474,0.5864893031290037
66,27,443.41066491096365,0.37367556407456737,0.09457404296602377,0.7678455397388483
66,28,417.4384692834567,0.4648482058078397,0.10193030091674349,0.9367679734076252
66,29,520.9943960878223,0.45957523243108084,0.11585318312032816,1.863793427500054
66,30,430.43876152601575,0.3604388365733328,0.08570399987627673,0.49975576733791444
66,31,502.9073889347851,0.423624901326729,0.10865381023872855,2.9507922261985007
66,32,497.9545581642806,0.5397685704670447,0.13873062916546872,1.1276881060544937
66,33,595.6264871724393,0.30853455656466766,0.07460114288068659,0.5724528692613826
66,34,586.657132561809,0.35650404125820645,0.08844828981060147,34.84590809537611
66,35,424.2379066596052,0.5449683917273028,0.12224381225061419,0.4819286521493552
66,36,468.80473674623755,0.4747002327086983,0.10897646276345163,0.5090867441697932
66,37,383.1699037482683,0.5401192778949003,0.12505446603412704,1.2896932220557558
66,38,424.3769033888749,0.2233243794497618,0.0511000121673734,0.22254384388993448
66,39,514.2053118897422,0.6243202123921522,0.1369521630922378,0.7278337957651221
66,40,483.855405671143,0.5105335365585789,0.1265978399411087,0.630901128231873
66,41,453.67994277882684,0.5028101577069451,0.11567686269030411,0.7982399218401051
66,42,380.5417148195078,0.3501596786118838,0.09186591199068112,0.9736946233636915
66,43,461.5643235780998,0.3981304314368455,0.09297249985873234,1.8193601490745615
66,44,400.36375855273354,0.3128575616525425,0.0790532191990598,0.4394818399275243
66,45,378.2766922084176,0.40043279183604613,0.09542371315498648,0.5639923733060934
66,46,557.0742538996224,0.30591297218238367,0.07436184135956382,0.4462394478808119
66,47,527.3202195866547,0.35541100675990284,0.08748900810666839,0.9208811191698071
66,48,380.64976547151963,0.2908635782473503,0.06981895501529772,2.005764201088479
66,49,484.7395511666533,0.42397459487224143,0.09774475818513385,0.429821217596688
66,50,405.09948728191273,0.44575589358339057,0.09619022970350677,1.4052914292764962
66,51,497.03140971765595,0.35235071397337886,0.0900252747408154,0.9144073368590051
66,52,604.8939398855464,0.3620835052636498,0.0754793094065943,0.7552757108908018
66,53,364.5503541533177,0.3831769124088908,0.10061796811636611,0.8094447063479101
66,54,511.30022148603484,0.41258432026520203,0.10143639444664543,0.5302786912030814
66,55,589.0821624817053,0.493618393491313,0.10836326239671833,7.1960401547302135
66,56,497.1102500151855,0.4668934582616297,0.11856834172151719,0.8728153410044013
66,57,332.42775234181966,0.4507592052759541,0.1076208940698293,3.297189287627997
66,58,420.26871307036913,0.5864003691068952,0.14229422501985722,0.7765281673316241
66,59,592.2258484103204,0.5615918622401815,0.13435689207193469,0.5086293071258615
66,60,384.48159709326876,0.43887677742143677,0.09583025376338015,0.6249039885988777
66,61,412.8815535328659,0.24281324658994552,0.055020065159125935,0.24690795236877558
66,62,530.0483860508895,0.5294083093421542,0.12306547804925529,0.8963228921878462
66,63,467.78143845598527,0.34560257987299353,0.08281446235167737,0.3369523722365102
66,64,475.5949999157891,0.49958318034002575,0.11884137882680972,1.8055449404579265
66,65,499.89532511208046,0.5044649562537392,0.10622547922202946,0.5346382146225683
66,66,491.5223458022615,0.5642672193411382,0.1315263276910875,0.7524648463245968
66,67,403.4614927983687,0.4064529245760404,0.09289154235331296,0.5614453384204614
66,68,475.6339705212074,0.5519548594203918,0.12636863052820912,0.5320629390678093
66,69,390.27305695308473,0.4290272095442053,0.11090124473551048,0.7935884159460133
66,70,501.4815212314703,0.5046565351328454,0.12414193344563788,0.5170634873002975
66,71,495.1861627722437,0.393079406392559,0.09095072890982227,0.773492987492175
66,72,469.5431194022358,0.3659860184719358,0.08561780529683052,0.8658877598515187
66,73,484.0875052898506,0.3975267586458222,0.0977050024631836,0.445123923317996
66,74,401.71853753691374,0.4688881812977254,0.11372547568387283,0.7398543337013255
66,75,356.7051693903124,0.2919514629094695,0.07870169589695283,0.8242267292620182
66,76,495.2163248710199,0.6812800339419867,0.15786272626319758,0.7281420098495103
66,77,550.26969255061,0.4355020274842291,0.09762797316848706,0.40208918888381395
66,78,419.5408693179735,0.5473529368324977,0.12744438518628354,6.8194877088574
66,79,443.1365861222055,0.5877161913854065,0.1418852415455138,1.2498265340109258
66,80,535.8321132392429,0.4913388163160399,0.09790366603970044,0.7074603794532928
66,81,511.8381706040699,0.5370872179409235,0.12278492217273446,0.6465908656834258
66,82,557.9489527716196,0.4080207614778389,0.10357646201081382,0.463887626286182
66,83,383.5044949236158,0.6271805973949646,0.14747774720060555,1.3526931792725656
66,84,429.5895229977594,0.6886334198318328,0.17336207429622977,2.33795693780908
66,85,435.1627036674034,0.4963966117107489,0.11583117892803174,0.670405737816726
66,86,448.67743295670044,0.43360747902581115,0.10968317119549474,2.143380494318529
66,87,425.6482258663681,0.4430997563707751,0.1026453497201088,0.22658991651391033
66,88,455.3823300549961,0.7609373402653412,0.1845851172258799,1.1337731581080557
66,89,421.1561287987792,0.4279807027917269,0.09508858636781521,1.156952051431755
66,90,526.7494980543722,0.4012506819026986,0.0865261838599286,0.4146417787757261
66,91,436.6854396151562,0.42423618633412413,0.08427890067931186,0.5779672300080406
66,92,456.6156267428607,0.5194045244226695,0.1126461289226182,0.869994379781247
66,93,480.34246790606335,0.3019994776498689,0.07215578733487285,0.24481847666029755
66,94,440.7612789042382,0.4047709971822699,0.09876175755899244,1.2744423918289367
66,95,555.7464312936494,0.4786892951096106,0.11208899134485562,10.52085505758421
66,96,446.72770292604577,0.3221955876379037,0.07522400820384861,0.7873433970056798
66,97,477.3120651462708,0.3905854226484897,0.08945914082952103,0.5885653371839857
66,98,450.51503806285626,0.3791580108120314,0.08612371982588016,1.2783013905165759
66,99,408.7402583941427,0.303596516191774,0.07063926683210445,4.829924281709626
66,100,473.01310457057855,0.39203416213228415,0.08860713996852562,0.6177838265082751
66,101,490.90389292550225,0.4034074980989426,0.09655615558140816,0.9099834537273558
66,102,481.2773795277923,0.43661526883114826,0.10611141538969764,0.5143750648476831
66,103,490.2299957818505,0.49966009563052355,0.12380798345229603,0.7741731790339988
66,104,460.05205993391337,0.4491920599795414,0.11083680775895027,0.855597396120112
66,105,454.80068651499903,0.4947519120452761,0.13166809206818614,1.2215259575155306
66,106,499.3471615621986,0.4621319030984735,0.11904840827303444,0.4947547800853678
66,107,496.6081777268066,0.4001561667978313,0.1054280516984172,1.6961695320004406
66,108,564.0975213527729,0.4289287119341414,0.11504276566892163,0.707672158329982
66,109,389.09160067190004,0.34047118851267494,0.07726709323905821,6.7230874174698725
66,110,411.4606367468664,0.6257328960087762,0.1582774269115391,1.9943321017576194
66,111,437.31942962657115,0.4469585177713501,0.1026940227956218,0.48847299488488444
66,112,498.55834316132496,0.4533282190578667,0.10720823257249548,0.6355406240607677
