generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,36,0.060105215349733024,22.496259351620946,42.66084788029925,0.9792543131194721,0.19082070179997224,0.8688289371895471,0.26997179408111915,0.928902194061164,-0.06150618337737064,0.9770048171393172,0.053327468536696454,0.8850019689237595,0.08226733022256147,0.964594072228667,0.0008626066246245166,1.1658670731144138,0.618931734872569,0.941032198405788,1.0748699720428405,1.0229465384511802,1.2124906657254633,1.0840036421322932,0.6552194574049554,0.47054288669481725,1.4830427247012643,0.49643485857930447,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
1,36,0.058667759113094214,23.08728179551122,42.00997506234414,0.9799263649865546,0.35009484666236196,0.846956437536506,0.16686392703395356,0.8228899683211186,-0.05515523486303299,0.8742483893768505,0.17343908166617739,0.8069934126888807,0.22600105004306645,0.9306266573304913,-0.04717007941842517,1.1691854576642997,0.44867447954999534,0.9051952882151681,1.0860201220961851,0.9187416580312571,1.276672892250472,1.0500873454273623,0.6769992492668018,0.45415493042234545,1.4947086330371768,0.4638636414173317,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
2,36,0.058752308301326585,22.72568578553616,41.86034912718205,0.9782135756160087,0.2767753994217258,0.8407647746090987,0.08856767516464321,0.8374722061655719,-0.030146804476676083,0.9005587486230009,0.14361748547474287,0.7365103633509159,0.11857473057815596,0.9146553296377677,-0.12157275450581699,1.2259860995265601,0.4761728277098413,0.9511636025935721,1.0883871033695083,0.910855153657284,1.3786145762617976,0.949320649351655,0.716901119634267,0.439092232843088,1.5120969131651707,0.3802615558120335,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
3,36,0.05826910939965046,23.49875311720698,41.733167082294266,0.9798003477003057,0.2153644011257234,0.8022494709670808,0.08208299733428841,0.9062268148949142,-0.009954309284112416,0.8967748287181315,0.1434715481397882,0.7233913790518877,0.10963677094782753,0.8684361497194228,-0.22994650852228457,1.2456810699454421,0.4404180284243295,0.9835184460780324,1.0679918182047483,0.887265335392457,1.3656546630014887,0.9456860407886235,0.7159450536919507,0.4540194278229606,1.5257448268134666,0.3630340860309567,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
4,36,0.058656022905928855,22.473815461346632,41.83291770573566,0.9798037275811501,0.16574091656533227,0.8006113259885363,0.14651428115774062,0.8624230103549172,0.012196677278830214,0.8893663061256439,0.1252274937657649,0.7245710747074201,-0.00785174699059878,0.8549707342233874,-0.19078869004351612,1.1950759966606201,0.5265292921612392,0.9237187477435105,1.0693297634949204,0.8937405691145558,1.3811125539212366,0.957478233462744,0.6908106749205155,0.4339559191624981,1.5410165472029937,0.3565764400719134,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
5,35,0.05853841740919865,22.491271820448876,41.99750623441396,0.9786595724491292,0.21299648947416294,0.7912786889037451,0.07646152121019473,0.8831760060358624,0.0013258615333317024,0.8986303960162539,0.09341321855163916,0.7545923115188571,0.07532123087475316,0.8647607274390717,-0.2994458109002738,1.2741974811783066,0.4735079281056788,0.9618798955794449,1.0853345879460323,0.898704088426537,1.3708971628572417,0.9256916494309336,0.7230405754304832,0.44869113969217717,1.5007636893727991,0.36260128114843027,0.12132969037958352,0.36132589708680096,0.0,2.0,2.0
6,36,0.05864802781906755,23.44638403990025,41.82294264339152,0.9794269063035371,0.177364432566308,0.8078456348661337,0.09307881420242288,0.8810658291635622,0.003392504847055947,0.9270159631077879,0.11608120390040014,0.7281034981906125,0.007237746426487721,0.8901726384386287,-0.21100771190884032,1.2379037791226057,0.5191818103868666,0.971588365211987,1.0966814210202043,0.9219153850608841,1.4257055481408314,0.911547601012379,0.7084955207001786,0.44368985640591724,1.5221725669866568,0.3601540490405814,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
7,35,0.058519797649509056,24.14713216957606,41.758104738154614,0.9796027363014864,0.22601981091507825,0.7984568680889904,0.030676400038899116,0.8719137322215285,-0.04630957567214247,0.9236849503415203,0.14365989976799887,0.723664085516029,0.09726064855383418,0.9164289553661895,-0.18515371683373139,1.2605457082195408,0.44921745174491057,0.9682320895783959,1.1197224519182627,0.9237942643736974,1.4288235186868783,0.8963759698653287,0.7360278231567511,0.45570508808252425,1.5234014390622848,0.3608432657830415,0.12132969037958352,0.36132589708680096,0.0,2.0,2.0
8,36,0.058816712679243335,22.758104738154614,41.780548628428924,0.9784573306039664,0.24328908603743488,0.7723484676105162,-0.0006008064692825093,0.8172416532514128,-0.1040691308997036,0.9196611579687517,0.14363095318636024,0.7217599845259393,0.07560982756097324,0.8526285862246703,-0.18163652819713438,1.2456236445944813,0.4275196764491464,0.8946930085808257,1.1741465197022114,0.9230959675881046,1.4103602503514654,0.9076145662299479,0.7375054419057631,0.44596104669704695,1.516714639612983,0.35430157388420896,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
9,35,0.058602614684427595,23.581047381546135,41.84039900249377,0.9808600377639011,0.2559557976592328,0.8035507587116542,0.005272469298890879,0.8513337736399527,-0.08371748481433901,0.9003544967713076,0.15537661493250632,0.7277944760240644,0.08463524180158738,0.8574341165841216,-0.29092593353538043,1.2463286218491127,0.37043318405187436,0.9433626253120948,1.1597257258029285,0.8875593839368824,1.3781385907623802,0.9263502634181949,0.730177572531614,0.4521076659598913,1.5115079520157606,0.3535099637931736,0.12132969037958352,0.36132589708680096,0.0,2.0,2.0
