generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.8808607690460818,7.73067331670823,20.571072319201996,0.20161355670940564,0.49510298964359767,0.0912465058752393,20.014695087492065,0.11409566379527206,1.0034286491874616,0.10066201692099185,-2.98278290705044,0.10040219783584378,2.9990262976204187,0.09791508375505008,-20.006799129094556,0.08880305251214707,-0.022670727626367206,0.10166587041524387,0.006253289562417702,0.09326063907186098,-20.004850028318803,0.09288423483326756,-0.01118331692537205,0.09680220532917923,-0.0028357802555748902,0.0948752014230466,0.01624607326430505,0.10543831120478428,0.0,0.0,0.0,0.0,0.0
1,0,0.8812279971235991,8.778054862842893,20.920199501246884,0.20864515210212317,0.4965647994927449,0.08790920926155499,20.013779362165387,0.09562182388973438,1.0018903405457502,0.09982969941935341,-2.970769031656463,0.09162812150789597,3.0010229605782657,0.09645415869199808,-19.99864864045841,0.08827140079126744,-0.021555663051207027,0.09935227443197515,-0.004808949634605112,0.08805408657537961,-20.016367295499833,0.09530427539167037,-0.013954703717235799,0.09130630902479821,0.004193376900276712,0.08750508136610208,0.009364093309323702,0.09580025850841348,0.0,0.0,0.0,0.0,0.0
2,0,0.8801750594987853,8.53366583541147,20.882793017456358,0.20967608573227692,0.5012940664755956,0.08485234370845243,20.016186956798755,0.09232014986629035,1.000801291060076,0.09483419890916693,-2.967724343384967,0.08723661002178064,2.9995099917276007,0.09678227697700255,-20.00461625032197,0.08072780785299283,-0.0249654935468044,0.09698839790047431,0.00016586877204848746,0.0861212217139712,-20.02628152146109,0.08916680756176697,-0.020063661115688153,0.08718552479401868,0.0031435415104915628,0.08665387941630114,0.0012469212806241652,0.08873510405510865,0.0,0.0,0.0,0.0,0.0
3,0,0.8806040091309966,8.28428927680798,20.882793017456358,0.20729729422513482,0.5001447316867228,0.08109442712008207,20.024489399597478,0.08999134546951977,1.005590418097761,0.08635010702494057,-2.9703779020952883,0.07289888082878573,2.995304698215027,0.09337450361236821,-20.005686281373933,0.08265580390903818,-0.020741213907857055,0.09465148707649389,0.0043295803900470975,0.08704083353668576,-20.036060938041622,0.08616692212527496,-0.027118858541842077,0.07916070006651439,-0.001858518334366445,0.08753116151274239,-0.005224552131805341,0.085707693979572,0.0,0.0,0.0,0.0,0.0
4,0,0.8796301355829298,8.531172069825436,20.75062344139651,0.20631785672630668,0.5069929074374186,0.08184544607708337,20.024181062708276,0.08587775951165914,0.9989160936085514,0.08489399606438748,-2.9633388234387232,0.07392385438425039,2.9975403079892264,0.09156402403673684,-20.00555132513436,0.08143691304957808,-0.02158100957419456,0.09047684774491838,0.006664900886591465,0.0905675498931318,-20.03552720395593,0.08599788400577056,-0.033507175684774876,0.07597321517732455,0.0006961964576525105,0.08216083434736135,-0.004028603525598584,0.08522068677564783,0.0,0.0,0.0,0.0,0.0
5,0,0.8809851748742323,8.71571072319202,20.69077306733167,0.20654451384723527,0.5107464269157311,0.0784505287612001,20.026382073035663,0.08736231567465712,0.9919967872873641,0.08779076066440657,-2.9641705946144694,0.07302570443727706,2.9965740414503235,0.08984352807873328,-20.00069645428246,0.07926271198374633,-0.015409012294702538,0.09475633243379826,0.002440584930978818,0.09180177474754943,-20.03394374720988,0.0815878385838599,-0.0412117580304094,0.07503101124905809,-0.0022479123636569755,0.0735106513582929,-0.0037608676974038853,0.08110191693112914,0.0,0.0,0.0,0.0,0.0
6,0,0.8803598245140013,8.518703241895262,20.693266832917704,0.20628070810729862,0.5147479645021655,0.07561967703454571,20.020874460583496,0.08738149459431223,0.9910134530832808,0.08787105398671455,-2.960525716138274,0.06492748694451639,2.9953897690079816,0.09097883829382904,-19.994926350419362,0.08004008646707403,-0.015034069029030159,0.0927664885114522,-0.003151491979725923,0.08992873042523089,-20.031583567510587,0.08185204084237409,-0.03868919463256147,0.07496440241293062,0.002038221684702027,0.07034721021302962,-0.010437880229413804,0.08103421850972947,0.0,0.0,0.0,0.0,0.0
7,0,0.8844995979821404,8.428927680798004,20.61346633416459,0.20338766688352583,0.5123430116054999,0.07091060434735214,20.01684474333254,0.08415458150317744,0.9854444121056718,0.08662091956818742,-2.955888499135535,0.06117967521910576,2.9941665415776177,0.09431338582059555,-19.997695535296643,0.08430059578740559,-0.01263849648291251,0.09508973906367073,-0.001820485367363776,0.08980635268330132,-20.031605473187696,0.08231856149448753,-0.038867242072840216,0.07196560296610503,-0.0037561740361178333,0.0688801008418031,-0.008032792372087682,0.07419579916658699,0.0,0.0,0.0,0.0,0.0
8,0,0.8819385265185176,8.650872817955113,20.71571072319202,0.20656164980188407,0.5096817723014858,0.0693295543798911,20.015981324306743,0.08388455674045875,0.9857856950962305,0.08058303797059192,-2.9554442904806026,0.059545639786019525,2.9875777836455946,0.09816267652550634,-20.004562733249703,0.08687521554815103,-0.016369517391377795,0.09129789494540237,0.0008223195113274875,0.09217441754641427,-20.03202721526956,0.08260749495211728,-0.03482431863223805,0.0702912088448961,-0.006303691316143973,0.06579921558609743,-0.009522370782305913,0.0777248917795801,0.0,0.0,0.0,0.0,0.0
9,0,0.885097254270024,7.251870324189526,20.76558603491272,0.20046606561348992,0.5079014537500962,0.06888018201346384,20.01353648260564,0.08543359341058059,0.9887337648448289,0.07790826059779152,-2.9513247701927448,0.058932356851250735,2.981223002934137,0.09733702208978333,-20.007043765349366,0.09079378607616946,-0.019542650636053142,0.08960008021654275,0.0013500602064169414,0.09517154607780921,-20.03569856433662,0.08134105695104817,-0.03187891250694541,0.07161747208436356,-0.007277620673100876,0.06366413117384742,-0.008686114222658775,0.07892963227908874,0.0,0.0,0.0,0.0,0.0
