generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.8812134876587163,7.503740648379052,21.012468827930174,0.20374138678943268,0.5015865705717841,0.10435046186179628,20.010517294929183,0.10004765349674744,1.0068569572828554,0.0941089337966916,-2.9886377701018727,0.10324243862158496,2.988696066460586,0.09884892373936836,-19.991140910561246,0.10055539085827106,0.00032988098077049325,0.0946671813941602,-0.0004631591734868187,0.10266976512121963,-20.003214642007652,0.10223329840090412,-0.011199256063419755,0.10370500096933957,0.014106195772155779,0.09576159007390295,-0.023324648555290494,0.08978713971581344,0.0,0.0,0.0,0.0,0.0
1,0,0.8763775955649964,9.199501246882793,21.122194513715712,0.21112548749647728,0.5069154444867736,0.10085723517250414,20.010078989210832,0.09366094348341732,1.0049834004605416,0.09631604135706448,-2.984997881907962,0.09968592442630701,2.9942439448087823,0.09811320994302244,-19.986519665391558,0.10555584789955114,0.009973269074443866,0.09923137127812816,0.0004381820550883527,0.10275354223834104,-19.997823705357387,0.10216110606589254,-0.010673875288624785,0.09966756203251159,0.020294056995102117,0.09395080349736733,-0.013147113523824808,0.0902228002480965,0.0,0.0,0.0,0.0,0.0
2,0,0.8760297327863782,9.256857855361597,20.778054862842893,0.21037733386053606,0.514182933809171,0.10013789013477567,20.014889056512637,0.09306418693747161,1.0052078714263935,0.0905917029568627,-2.980297597128991,0.10032180805582651,2.99104879060983,0.09768697407349822,-19.98509749581839,0.10442752000415206,0.017285341904174367,0.10271919048775256,0.006254245936404519,0.10147617981532686,-19.993198955127156,0.09787050372110356,-0.007872419088907791,0.09559723387227252,0.02180639324286505,0.09341072223845746,-0.010629141769424495,0.0858331125224284,0.0,0.0,0.0,0.0,0.0
3,0,0.8818427512104106,9.169576059850375,20.366583541147133,0.2058947241200245,0.5114573363839011,0.09133061449383287,20.017645040939207,0.09592585775150501,1.0096665098499351,0.08625980716731804,-2.983463528998261,0.10049357566594073,2.991621151146278,0.09692247159609041,-19.982854802935375,0.1076329434503827,0.020320696165088012,0.10137794830023153,-0.0018598686852089388,0.0998829698247623,-19.988378844236596,0.10022993627478347,-0.008320889726444014,0.09245180785522522,0.022692378456525605,0.08901687070810478,-0.0060241862604943075,0.0849130329223378,0.0,0.0,0.0,0.0,0.0
4,0,0.8757697644033717,9.438902743142144,20.635910224438902,0.21182188977987304,0.5205394651442423,0.08691212753944068,20.019646555042144,0.09323489486013474,1.013549439067178,0.08992908998025492,-2.9770479841459894,0.0992609190386415,2.986190034994926,0.0984570767152274,-19.990658120883378,0.11289031401916583,0.027950722596698563,0.1018213253057538,0.001987783675331225,0.10120680676193358,-19.988038007500975,0.09976629629231207,-0.0029325138431590078,0.09420285238547547,0.023339459172550817,0.08711535994386034,0.002539839828492479,0.08676269046422348,0.0,0.0,0.0,0.0,0.0
5,0,0.8725470446975608,9.221945137157107,20.900249376558605,0.21187131865622544,0.5205303250147306,0.084165520909555,20.02353631413583,0.09008456861722201,1.0097138296900754,0.08843296080520642,-2.966410843021454,0.10093685826261035,2.984572328129269,0.09264433241966698,-19.984156441880945,0.1087820518418247,0.02892660061322065,0.09869783255846896,0.008194022655481935,0.10096326636540594,-19.993375613382767,0.09295563107440151,-0.004025313230642538,0.0998735093411757,0.019753915721516215,0.08658515887226519,-0.0008522450023497581,0.08591906661832731,0.0,0.0,0.0,0.0,0.0
6,0,0.8768606603568855,8.975062344139651,20.551122194513717,0.20935147328020492,0.517217395084853,0.08054327693532806,20.02654797494718,0.09093836289084851,1.0121709863654882,0.08420608689751297,-2.9610922195621074,0.10279255147910497,2.9818811446085127,0.09549015215627495,-19.9784112762275,0.1037309908834538,0.029378857641181488,0.09535395819685274,0.0010860627850230549,0.10096496840851304,-19.989127675370217,0.09364539284838945,-0.0062957974624497275,0.09745237553117671,0.02269054704587173,0.08653895567184064,0.0029051335550618292,0.0806816992477161,0.0,0.0,0.0,0.0,0.0
7,0,0.8759400463429451,9.179551122194514,20.783042394014963,0.21189243607451203,0.5152614961469525,0.07583816151944071,20.028444498293595,0.08927420794710157,1.007522740008623,0.08673965273921751,-2.9658205183413853,0.10319846823814709,2.9780395213917457,0.09426400743657527,-19.98505589902531,0.10377937940191061,0.03011684644401793,0.0927605587308047,0.0005905512654913222,0.09483570509886045,-19.98854952879551,0.09420164366084464,-0.012353489978143483,0.09486337843908994,0.023697808269497477,0.08648110419606135,0.004293833135032198,0.08247640539557534,0.0,0.0,0.0,0.0,0.0
8,0,0.8809903366565517,8.708229426433915,20.615960099750623,0.20872881282657424,0.5118510754159252,0.07528613357965895,20.022982597295652,0.08967464365696591,1.0110949913354186,0.08524586246959938,-2.9709171430088808,0.10797886709532016,2.9850285436763073,0.09276898173619098,-19.978660207747236,0.10133805425049763,0.029575578744552643,0.0918636027416161,-0.008296052375769674,0.09734648163821685,-19.991587563095063,0.09288162605857755,-0.005742239384774576,0.08986240723559241,0.028568296721723948,0.08531312209603835,0.005798309936772682,0.08285421650899735,0.0,0.0,0.0,0.0,0.0
9,0,0.8806120135784274,9.019950124688279,20.5785536159601,0.20655393932365565,0.5109893733294921,0.07363477648165911,20.025603431400437,0.08778446353372939,1.0106593022714991,0.08757710971823023,-2.965616573252645,0.1048522059172597,2.9806950425331613,0.09257359649212099,-19.98405124701643,0.10606916876933399,0.03353748787324383,0.09109485418989244,-0.004534072767633118,0.09839796697691151,-19.99293805937544,0.09294141310404841,-0.006031585540325766,0.08921156842178027,0.02609773717374029,0.08242708671514944,0.007210238563041315,0.0827976807390366,0.0,0.0,0.0,0.0,0.0
