generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.886459904578334,8.82294264339152,20.19201995012469,0.20302984012161923,0.5079073295259925,0.10687094616252317,19.999759355566585,0.09785499636599655,0.9931325113662419,0.09673687310685201,-2.999569147976291,0.10713447152001622,3.0029657364816367,0.09233489901219087,-19.98699652679521,0.09343594648279742,0.02398054488374119,0.10665296836250082,0.005935260758636621,0.0910844576302792,-19.98786786301526,0.09963132039818288,0.009972822519649396,0.10552767910712517,0.009386352387167871,0.1019136806723871,-0.007878747916993528,0.09761073348896876,0.0,0.0,0.0,0.0,0.0
1,0,0.8824332066942971,8.513715710723192,20.478802992518702,0.20384544824067935,0.5114531598537654,0.10421492056305326,20.00441248082501,0.10179461106327907,0.9935841895391424,0.0932223785588619,-3.002235315860872,0.1000647908549455,3.0122692576188315,0.09477142162579676,-19.98416933418403,0.09046161269022585,0.024453904188998298,0.10258244303290918,0.0019074498379629292,0.088391460607564,-19.990744226649106,0.09376041327547753,0.004076708022728102,0.09864375500855789,0.013475226177473362,0.09563374958472497,-0.012360660941941288,0.08959030117965201,0.0,0.0,0.0,0.0,0.0
2,0,0.8818374239274289,8.880299251870325,20.44139650872818,0.2052304531832812,0.5191596555445513,0.09693825907258685,19.99032249984979,0.10408964213578464,0.997579654193603,0.09349169757935996,-2.9980960339752722,0.10170131598332621,3.0168057708921863,0.09066396849184094,-19.983298473772344,0.08685955883218298,0.02520408974353462,0.10846203642597084,-0.005274741183933855,0.08688641180591847,-19.983011443031167,0.08953192225452572,0.006162471932637521,0.09431164083237917,0.005011143010490979,0.09555273754411837,-0.00944944238876006,0.08209413061235724,0.0,0.0,0.0,0.0,0.0
3,0,0.8831764338255824,8.054862842892769,20.30922693266833,0.2010283470217341,0.5278514504234292,0.09299648127665298,19.98265107442613,0.10652509250716706,1.0008686699238254,0.09354443638176739,-2.9923102052265578,0.10079267807035051,3.0139330550501686,0.09329028972790673,-19.978317163197154,0.08421819662622822,0.030989923625842068,0.10882892948506517,-0.014566890504742205,0.08118824605374098,-19.9828612108728,0.08668590015151177,0.002586566407603975,0.08021552420436828,-0.0013210044774346868,0.09527821824800635,-0.016890539554387022,0.07809192734427568,0.0,0.0,0.0,0.0,0.0
4,0,0.8828724442516006,9.082294264339152,20.55361596009975,0.20816672872939734,0.5217336918301464,0.09586429326359407,19.97899389391269,0.10121286412973272,1.000342270911326,0.08992661573115307,-2.9955224341453057,0.09667566444675865,3.0165315783434976,0.09442655182504278,-19.982091665819237,0.08260155428158976,0.025179676409620155,0.10480948215784543,-0.02075992227930014,0.07888593287184045,-19.984113521216145,0.0818581354905848,0.0013112771002452093,0.07907378762935713,-0.005220690622995541,0.09026809893594655,-0.017680215063310557,0.076718861711026,0.0,0.0,0.0,0.0,0.0
5,0,0.8835803153897523,8.42643391521197,20.461346633416458,0.2048703417244066,0.5220707844364147,0.0933301189227626,19.978652734767653,0.10079032795730998,1.0027940301797402,0.09168526429697108,-2.9928117817326987,0.09121971234838668,3.0225048435757937,0.09481769334438694,-19.979041308035953,0.08125484768482985,0.026706490033929452,0.10642482901938852,-0.024569352105069536,0.0755343603622462,-19.98635068164845,0.07696563626064562,0.003337524002248231,0.07262021770806493,0.0013097457346338166,0.08548193780845945,-0.01874740002633878,0.07585726119314593,0.0,0.0,0.0,0.0,0.0
6,0,0.8828365110527862,8.503740648379052,20.44638403990025,0.20349696055386657,0.529475004359241,0.09011713080450227,19.972994577780298,0.09988416164450138,1.002427448260114,0.09232342196952248,-2.9863110136805995,0.09119256630514214,3.018852960188615,0.09567020113238223,-19.977639256921414,0.08289580574528363,0.0297792968168429,0.10872789320791992,-0.03151575559766768,0.07394895816502291,-19.98817406266619,0.07194070451522919,0.001133389764645679,0.06909789322281593,-0.0017214367942529536,0.08365792010009247,-0.022196496324885535,0.07457413084858182,0.0,0.0,0.0,0.0,0.0
7,0,0.8843579853776748,8.40648379052369,20.206982543640898,0.2018478787241465,0.5291274022110541,0.08567921969488837,19.968845237831058,0.09938477809255879,1.0053376537500558,0.09320964606579708,-2.985497294749851,0.0928090019680104,3.023713090233325,0.09587368385953317,-19.97659952408814,0.08164982101524669,0.034338135883241784,0.10885667353578342,-0.035262260945871524,0.07297048183868764,-19.987703793809924,0.07304085314312035,0.004208641121756601,0.06845910492743813,-0.001195790517032203,0.07668451621046544,-0.023117154406439674,0.07193876458832321,0.0,0.0,0.0,0.0,0.0
8,0,0.8872011570913786,8.15211970074813,20.14214463840399,0.19923665119877593,0.5264831815084445,0.08471083915906844,19.960997294608042,0.10049847758931718,1.0031022302660872,0.09284356067394285,-2.9896143170590124,0.08962870117542261,3.0246351664657274,0.09307027265562273,-19.978925827818106,0.07995319141814386,0.032863142438383675,0.09935465150795253,-0.0378474619153295,0.07119612328115277,-19.986751161686747,0.06978661830503798,0.0068779040136983365,0.06473673403577322,-0.010954955070046016,0.07819037725305895,-0.024798733898080415,0.07474084536996098,0.0,0.0,0.0,0.0,0.0
9,0,0.8874409934472949,8.002493765586035,19.86783042394015,0.19847512021297753,0.5259585408421044,0.08804373700317154,19.954678603605096,0.09744861519546054,1.0053997494945865,0.08909360630348676,-2.9873861300415148,0.08548634669357082,3.0256410718169033,0.08962714614018322,-19.987392218681304,0.0767607147807258,0.02947159342536752,0.10475516845689381,-0.041763946939513255,0.06933008262208039,-19.97980757115538,0.06667258661949618,0.009814072025486913,0.06156172254606521,-0.010200707000510456,0.07525276125272078,-0.03060621468229366,0.07134842290877695,0.0,0.0,0.0,0.0,0.0
