generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.8763433736896248,9.401496259351621,21.306733167082296,0.21280359209275884,0.4991938885536848,0.10082996135016598,19.995368368326844,0.11234524034775405,1.0036949753089877,0.09528966630269055,-2.9941153953691906,0.07843158591278669,3.011335858121442,0.08863880432518688,-20.008659646878968,0.10069285608923016,0.01344451095361776,0.10822691658124031,0.0007076221427912772,0.1024306290214027,-19.9956342417985,0.10406476722258585,-0.001478434804207544,0.10395563584956201,-0.0018447231199210773,0.09813650739053784,-0.014530178028740902,0.10979993034748121,0.0,0.0,0.0,0.0,0.0
1,0,0.8729453520982031,9.24438902743142,21.271820448877804,0.21332510764094123,0.5004891719914312,0.09795484272259976,19.9935448629119,0.10464308822590174,1.0033701051415713,0.0938817404768298,-2.9913089233522285,0.07624439198156534,3.011620753244579,0.08213432433512939,-20.008713248680294,0.10117775225738866,0.015920724693639605,0.10944936390246243,0.011666606011043908,0.10949282348536779,-19.991719304000746,0.09964519716745392,0.0023022275432525276,0.10098597573316591,3.8487640188817654e-05,0.10226683183374961,-0.01592440467971781,0.10506305982080917,0.0,0.0,0.0,0.0,0.0
2,0,0.8725977650732596,9.546134663341645,21.528678304239403,0.21496106023475467,0.4970979937254305,0.09095710294396613,19.994740493910065,0.10688024733450269,1.005095856645545,0.08706214893598577,-2.989268571206921,0.07623869404245856,3.0115773892146596,0.07316684057182256,-20.010047861380905,0.1049043476447892,0.02236964164319336,0.10682736135199257,0.019183950149900448,0.10589431516112158,-19.981065351600922,0.09141200604628014,0.000742053578922596,0.09558066422098231,-0.0002582813371710133,0.102158562737417,-0.01952688684775374,0.09448147241559844,0.0,0.0,0.0,0.0,0.0
3,0,0.8759365680450079,9.29426433915212,21.32418952618454,0.21554857300090016,0.49688713658631223,0.08161620768161687,19.985160299309506,0.09828112863016181,1.010554397181875,0.08675149485094784,-2.994011731318135,0.0692012686196806,3.0138478045993327,0.06428422256576412,-20.00477367782801,0.09823404746303786,0.01764949552477098,0.10148052059295536,0.0358714352110376,0.10382739348798496,-19.985405496183464,0.08496517823268954,-0.0024182815212877994,0.08520348453212645,-0.0025378429263046894,0.10093229018332323,-0.022171991239509754,0.08885894105018076,0.0,0.0,0.0,0.0,0.0
4,0,0.8748152566590113,9.159600997506235,21.316708229426435,0.21344064258818615,0.49492430299046225,0.07606203023628651,19.9843050876365,0.09547932871774824,1.0068570372639976,0.08055450481033755,-2.9935224339315134,0.06838039408223896,3.0140947533253994,0.05995897561734228,-20.007286371346446,0.10418442970239232,0.022653885761921833,0.09973491200698545,0.04261372155314575,0.1010348132236999,-19.984017804502514,0.08411583365929441,0.0026603050009488282,0.08320380014164934,-0.0058803230068706835,0.09888468627967546,-0.02328420429127773,0.08619120218470273,0.0,0.0,0.0,0.0,0.0
5,0,0.8752343774062425,8.922693266832917,21.428927680798004,0.21168383023597326,0.49939883865587764,0.07371170141828415,19.977973720692944,0.09373214844965047,1.0109665788001818,0.07850590994730036,-2.997785852036769,0.06789563865560469,3.0145809091811278,0.05746498238020556,-20.00788456790964,0.10929478749063426,0.01992666313902692,0.09794934325296992,0.04277191681060155,0.09929035976207462,-19.982422949826255,0.08361336300363155,-0.00041411961859848484,0.08338666049094927,-0.007813486281928978,0.09628975563779647,-0.026079736515874197,0.08597945630639722,0.0,0.0,0.0,0.0,0.0
6,0,0.8731974986534989,8.920199501246882,21.48379052369077,0.21412920457207638,0.4999968941398337,0.07147986520015062,19.98153079137986,0.08793526875526265,1.0088643277558345,0.0817125155225223,-2.995750926721167,0.06813745679120586,3.0136574274011267,0.05517251546318216,-20.011185828961242,0.1109308120579597,0.026060509151377177,0.09962769396631295,0.05507450221140914,0.1043713167838834,-19.981121736235615,0.0844886249919905,0.00346074120786088,0.0821520622639695,-0.013569765664453766,0.10029504292231445,-0.025228758345775853,0.08211623928280234,0.0,0.0,0.0,0.0,0.0
7,0,0.8773803490832791,9.069825436408978,21.336658354114714,0.21124915912640863,0.5005767693762732,0.07253178886336216,19.97625997101457,0.0907608721325977,1.0071587715701904,0.07928963171030078,-2.997993576303565,0.06687660555408995,3.0129375259226423,0.05235245032766143,-20.005468453169627,0.10792918889357253,0.024745619201856372,0.09571304842210888,0.062352353483783075,0.10443869654166937,-19.982897180459926,0.08665576088373313,0.0025109553028590478,0.0838605503276239,-0.011611819711828855,0.09429284809096386,-0.024925828637147155,0.08382158097158232,0.0,0.0,0.0,0.0,0.0
8,0,0.8743892566589252,9.401496259351621,21.523690773067333,0.2144911601156446,0.5020314314605401,0.07264674217481154,19.975822261228664,0.09221200171482524,1.0058556699694032,0.07907177775412672,-2.995778748225688,0.0667141858223625,3.010229487923448,0.05211841606181593,-20.005063560376723,0.10637633403708478,0.024369686266418084,0.09605876294112208,0.06714887087688995,0.10824530989744179,-19.980244565206885,0.08195442668869649,0.004368653085025668,0.0828541801217812,-0.008686397689215763,0.09777648893253851,-0.024034005665069063,0.08492447228656029,0.0,0.0,0.0,0.0,0.0
9,0,0.8682843468178612,9.441396508728179,22.037406483790523,0.21967052196639053,0.4996318473824171,0.07520415463477531,19.97421401061008,0.08844377623432531,1.0019375450347572,0.07792956092022717,-2.999155937842295,0.06670320710784876,3.012864729839385,0.0534573918371229,-20.014113011510943,0.10368576579369884,0.021802439824600058,0.09618533001977318,0.06293430216449021,0.10447553441268918,-19.980113389322163,0.0802882489816666,0.0036965586127438894,0.0846816571043841,-0.010407757294280137,0.09601847555987697,-0.027092680180850738,0.08068184448103122,0.0,0.0,0.0,0.0,0.0
10,0,0.8719739494954036,9.206982543640898,21.892768079800497,0.21730412777459737,0.5013699445320043,0.07609953124239155,19.97634301391781,0.08901196866274638,0.9999208923521861,0.08039050841765746,-3.000276656065031,0.06518512793181802,3.0154548016397795,0.05212516904139817,-20.015465035663787,0.10584758970624134,0.014131580364431124,0.09671882691878132,0.060034328584364485,0.10048614232835486,-19.9788311512312,0.08308343798244326,0.003181493994475893,0.08452155143382752,-0.004421597602884476,0.09883278106349452,-0.028928534091928068,0.08123837076768657,0.0,0.0,0.0,0.0,0.0
11,0,0.8699473575843374,9.895261845386534,21.713216957605987,0.2162196753747955,0.5029473233224141,0.07733326951577282,19.978040136996054,0.08797098767469394,1.0009548551100027,0.07707644131242818,-2.9993012017056775,0.06507134566593613,3.0153096241276223,0.052798551955383424,-20.011454297540634,0.10904838942125175,0.011638366499931132,0.09782381224274307,0.0535871171761788,0.0979128473389764,-19.9772565825705,0.08635984130856256,0.005506921799769003,0.082659828640462,0.006194275622800913,0.09432884819342213,-0.02873442220259069,0.07972267227311015,0.0,0.0,0.0,0.0,0.0
12,0,0.8761177316762369,8.633416458852867,21.179551122194514,0.2100172543898737,0.5068386849080301,0.07314420429647422,19.97986196096956,0.08701934331658091,0.9990699713887059,0.07626467365545626,-2.99753139433309,0.06508227994217694,3.0132100453595108,0.053315897384427366,-20.01060918832689,0.11089081897794842,0.020251590445415472,0.0947059142093012,0.05543658441364338,0.10323837451745255,-19.971231835554484,0.08561760933128221,0.008253639575617951,0.08078869844854063,0.0024287828795635856,0.09380658799344962,-0.026680226038233223,0.07687042043519424,0.0,0.0,0.0,0.0,0.0
13,0,0.8756800970421953,8.962593516209477,21.7356608478803,0.21226874372474,0.506112127280262,0.06949465180649869,19.974800973601678,0.08876310368549507,1.0007057598849753,0.08025276195590765,-2.9988528515464834,0.06426194320144717,3.0153214265825303,0.05192568698433708,-20.005602897802056,0.10350993447578037,0.01767566202212796,0.09632833059743412,0.060329084764395226,0.11126641282359226,-19.976300562740285,0.08679941768415471,0.003639562888773722,0.08262481165186567,-0.005950330297816353,0.09779339701119696,-0.02958297079005998,0.0749820415814058,0.0,0.0,0.0,0.0,0.0
