coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std
-0.7052672922989286,5.553700913911982,0.5716603663716386,4.988868482750948,0.0671739869805035,4.6427663793469325,0.879339229790312,5.328860487916192,-0.2585585025344258,4.800492537495409,-0.6405513991504754,4.469496130675093,-0.0663233830823598,5.159115696713359,0.550075477446409,5.221525990777284,-0.0668650890666854,5.699711290343175,-0.3380037709460516,4.379743449694062,-0.1792520358451332,4.637821571077686,-0.5634069448629158,4.954347020197546
-0.183707926623139,4.823267402682665,0.2939555607159803,5.105328118602481,-0.8507404058932646,5.241600247750847,0.1836323212223555,4.580599135863332,0.420865610286902,4.361239059133292,0.0260560979278843,5.508041454475591,-0.5203762326974317,4.789066306633793,-0.0228701127354567,4.569881540356027,-0.4255538389510112,5.009257783717784,0.8291837411757413,4.916882278363825,-0.1067219545275695,4.282815993645172,0.7878765763384529,4.871275239922452
-0.169428511114808,4.914933555144136,-0.0197306572188373,4.940675945134664,-0.6114017841473518,4.999106709503285,-0.1074428336597058,4.7361270174480765,0.2641803240162554,5.021270761534784,0.2526891774963604,4.9634388501183215,-0.3926899162945501,5.101173399152778,-0.0480875595814431,4.731178348287834,-0.4978073390642081,5.187983146514318,1.1149294056975123,4.750970383747048,0.2806428376757964,4.630379360037811,-0.6757231230580953,4.858924189730519
0.1593551107526127,4.652692212411828,0.1113685846234868,5.351542103414684,0.493314735321744,4.457090381332498,-1.1753617991835956,5.017637017463098,0.53069043164194,5.503073484429337,0.1000303461561538,5.36655512445531,-1.152476604947578,5.468365163687821,-0.8905154199857028,4.8051109507222565,0.53127939253017,5.063890786058673,-0.3519582779798276,4.959895246625495,-0.0326324205104382,4.641374016133722,-0.9429957584060864,5.073292813250206
-0.0010862198232065,5.542737169527712,0.4815496480000047,5.415391769641776,0.2676282360224289,4.43115731509091,-0.4835814799945421,4.429390281154705,0.2605278830637474,4.434968273075312,1.1305750202422042,5.578598814414925,0.1597245284505074,4.322518815832266,-1.2753222188283335,5.508900547099634,0.3358179867213832,5.567756077809763,-0.0605001169878357,4.734745944181064,-0.1300124243732866,4.838176472453889,-0.1914828078091185,5.375939563494215
0.2228284079174409,4.5398717995460425,-0.4662338999565552,4.038486024269072,0.1141513062295909,4.98039709629373,-0.1796390177899852,5.057226088118641,-0.6277503308696364,5.584583927525553,-0.1504768135306908,4.48247994011156,-0.0916713408585225,5.650363931233944,0.0825488535109067,4.1514600107505375,0.0779244591463893,5.028996526456957,0.0889820050849453,4.697080970141444,0.0449661804834518,4.976986519011404,-0.2855454140908635,5.000243972950854
-0.8302326338541327,5.412825321549092,0.0040925082479798,4.937232894209464,0.9048792759317744,4.906753098102738,0.4946290674367312,5.157962593201894,0.1534219591356978,4.423483383724846,0.3449892778526654,5.722284258899774,0.0276920845184075,5.19689166593238,0.8399674601782029,5.0661543296096845,0.5800674368575615,5.416362421045631,-0.0494526372077447,4.862593276781246,1.1884179732560278,4.924098574002322,0.6967552723258867,4.980410837714535
0.2813449304376333,4.6547988021339775,-0.4361028288190803,4.991324380649355,0.2865947554822499,5.376383863989683,-0.5721537014786052,4.674934905542797,-0.0661675299878918,5.101282267436671,-0.078230200301356,5.622157796550739,0.4111498001903232,5.244961258048237,0.1357341083941546,5.267459516417454,0.4162735337703491,4.554949322274109,1.160650326659611,5.040239575239955,0.6264443395643067,4.895969000124706,-0.3902791214763336,5.376797060118614
-0.6855788510901342,4.639273582862364,-0.026901246382508,5.61825723059502,0.1428593599402976,4.938577306046856,0.7389088088300919,4.924218934217948,-0.3883251523775623,4.468676539004057,-0.3315477097079911,4.976738983035956,0.3077592754872548,4.774090314848019,1.0311561675223513,5.040726605151799,0.8206072885176136,5.194218512994116,-0.6575672354252589,4.459897239188979,-0.8424982651414472,4.42530489041535,-1.0055096851375886,5.2969797414203965
0.1493369076104964,4.884135498785302,0.2906290785943987,4.687367732376031,0.2657475809268732,4.877380924705981,0.3540668057483768,5.542402519965199,0.2339503710164839,4.7895074804960185,0.0583483002906725,4.575009258219041,0.4792818631526743,4.780564480756782,-0.060525351825271,4.857579127377275,-0.1284763513425653,5.00106428208188,-0.5582756422978031,4.971280078881958,-0.0324718531624014,4.662632365852334,-0.1888949836603139,5.524613018692273
