generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,10,0.12073293838099598,67.23192019950125,80.87032418952619,0.8899089020658536,-1.3633210732476084,5.648413669230432,-0.5749129236839817,5.328247349448113,0.7882482816356589,4.5440704318540055,-0.29251805775174805,4.530126809738785,-0.47059879088491774,5.862464932924225,-0.8348937750061606,5.033832999957577,0.1955783343496482,5.069326069304391,-1.1088096453843812,4.511442243463441,0.23450424639640538,4.232809085679554,0.5172728178527636,5.118119324701591,0.7530322644093892,4.659154725413567,-0.04165715892231292,4.943772843589366,0.12102380214102956,0.2735623144212548,0.0,1.0407622039783662,1.0407622039783662
1,11,0.14436341839798414,64.54613466334165,79.44389027431421,0.8684751348267455,-1.6009729417457899,5.341235865429222,-0.8701038473397116,5.455546826116634,0.5681745436452361,4.2773654560467,-0.43821411806638383,4.157287553907244,-0.9317325975726023,5.804472826274115,-0.5152099483555619,4.719578314724022,0.3411448199566742,4.982104727904278,-1.224108478892772,4.402512816677664,-0.2756578727547624,4.113878336305197,0.6324401457723166,4.96382927566327,0.37656051801998863,4.406766992769495,-0.4321683839195208,4.811382751372814,0.12104616631622306,0.2645511931327121,0.0,1.0,1.0
2,13,0.15775092969673463,69.5286783042394,73.59600997506234,0.8693856396595413,-1.6368985234550815,5.314371760050142,-1.1079893530748062,5.080460145874625,0.43973973253984444,3.9096362297191836,-0.48644915594611376,3.9269564900756193,-1.4036476820936634,5.591194128042642,-0.23400134820342317,4.546315335923214,0.5504842430248578,4.732786923812537,-0.833000781429947,4.304396919691488,-0.25456461182063267,3.948361710132945,0.3930234252860626,4.674644862729021,0.26878449528615644,4.0700060731369145,-0.02864620213107597,4.670627388071774,0.12106073043699549,0.26252730019328,0.0,1.0,1.0
3,17,0.13815996554994336,68.75561097256858,71.61845386533666,0.8562550194231735,-1.3663390778880835,5.328396441131896,-1.6246888535155137,5.176415606740988,0.18669191851937986,3.9724880329078567,-0.30098075539412505,3.9893852201422457,-1.2080351244658232,5.276511997242562,-0.15357893715783083,4.304094747425192,0.7512746258073076,4.648709565116748,-0.6583084451780299,4.276854796732008,0.0819498264175427,3.677397575484851,0.24649451435622985,4.5206587273840695,0.5076340260586921,3.852891897760968,0.04032769354614461,4.572368531193076,0.12106426454792878,0.26715185917451384,0.0,1.0003354626279024,1.0003354626279024
4,10,0.14785056489943338,65.88029925187033,75.17206982543641,0.8607290946726502,-1.1160634378854666,5.487457009149159,-1.5497280828716826,4.900801109546692,0.11972758183392208,3.805257108220337,-0.49341788848726764,4.126209120699562,-1.4872287929403367,4.900590137895659,-0.0807558299012541,4.215469402436258,0.507803676002221,4.448706498873612,-0.7537573914804047,4.051416789294746,0.08574265705709348,3.5299287883465933,0.1320528747408939,4.3565480578109534,0.7611245680244707,3.483206573666312,-0.013717709589345161,4.311924881297344,0.12102380214102956,0.2624664632182642,0.0,1.0,1.0
5,12,0.14242278317043924,67.34164588528678,79.47630922693267,0.8874755400777584,-1.404252730633675,5.47387570516037,-2.0987402396353794,4.821719450168999,0.06639487150556107,3.3588200673445376,-0.7932730713780543,3.8940889391743196,-1.471729679401163,4.756181328817945,0.2246969280800159,4.070530825268993,0.33977332665565685,4.49993617319698,-0.726779604809721,4.026364200101896,0.12217999848346882,3.7292824297495497,0.2735295161553352,3.8961412292310476,0.6771022660436937,3.1189935272143576,-0.15214889658077285,4.033793318170166,0.1210562151878961,0.3095243372447763,0.0,1.2018965179946555,1.2018965179946555
6,5,0.1051234673813741,71.79052369077307,78.66334164588528,0.9208638657323778,-1.1161692779899297,5.0210774482123,-2.311467053549961,4.331197785647644,0.0415578937753989,3.1907931724824365,-0.806068526177675,3.6776886061484517,-0.787749635346885,4.323360195083381,0.003990777325779222,3.448930794069381,0.7344596482758317,4.388725443069386,-1.0941353265223477,3.9802575157187636,0.20615457754659036,3.601691577069735,0.3922594137942754,3.7235834146164897,0.9467040204615965,3.027372352615599,-0.43818891863067694,3.6872189363733616,0.11884704262531037,0.263398397006446,0.0,1.0,1.0
7,10,0.1394686593018066,63.86034912718205,77.30423940149626,0.872742358687739,-1.293473342520044,5.0795339954810705,-2.8352796979618757,4.13840513407525,0.0008232795799233848,3.035675791092459,-0.5906861551262074,3.7866263910183537,-0.503326593216619,4.188866829589189,-0.21363724128821923,3.2459716259490965,0.5401128038602782,4.071534563240745,-1.1295729020134704,3.7801337510567437,0.12034965485558383,3.5069648448003323,0.09983488866795465,3.577989500908274,1.187934418384614,2.8423812799860255,-0.8368609427213847,3.5729158578245803,0.12102380214102956,0.3095369975959624,0.0,1.2018965179946555,1.2018965179946555
8,7,0.12796252044080977,67.51870324189527,77.78802992518703,0.8934876576099884,-1.4677208724827078,4.861013835916155,-3.057412266340021,4.252014447782237,-0.14678838823736987,2.9568469295548785,-0.49000032389528364,3.7737920004474663,-0.67645047504628,4.145459923579705,-0.10575312734896207,2.7668820457824297,0.413997879229788,3.863495809193154,-0.8763086392040934,3.7408528533440837,0.026500844815055533,3.51167717276133,-0.000627866790839622,3.579099985341654,1.147390782591232,2.717922494120646,-0.8684382922480853,3.5177375579020835,0.12061673502116066,0.26268215677282264,0.0,1.0,1.0
9,7,0.11119910118960269,70.69576059850374,76.49875311720699,0.9058779556950041,-1.5719808519373055,4.711639539083164,-2.7842907403771244,4.0652261517727535,-0.1409587986361498,2.911452268579455,-0.4792487761074036,3.5741656428911948,-0.535993520633655,4.155436121333841,-0.0868653778279227,2.7516544370393548,0.7434509105784985,3.769457304408823,-1.0537807144555815,3.6838477720243277,0.10815884045024488,3.3473977307834706,0.03501950576858767,3.6829670350120733,0.8954357881670895,2.7535147048224746,-0.6880761856149532,3.293896108094646,0.12061673502116066,0.2628333360095822,0.0,1.0,1.0
