generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.8980546515918747,5.9351620947630925,19.236907730673316,0.18641140363092423,0.5019652823249403,0.10082997516241032,20.012638643820857,0.10046778200243182,1.002372966779717,0.10026123339887683,-3.002040868641658,0.09936542706029827,2.990954633482564,0.09272420159889447,-20.011390016196508,0.10358486726292923,0.012136214284573978,0.10431882256446734,0.006580128917635471,0.09974432389678267,-19.98666287760901,0.10436692868460146,-0.017870195068490056,0.09613876019777276,0.0023391552877810354,0.09199069084103155,0.0017717687840193706,0.10759581728744143,0.0,0.0,0.0,0.0,0.0
1,0,0.8938699342950623,7.26932668329177,19.571072319201996,0.19576434817847038,0.5003761744155845,0.09323978394240309,20.011647593851286,0.09453998192929218,1.0076562373217672,0.09920206786478868,-3.001649766874457,0.09327388434979597,2.984872817157258,0.09094122139620188,-20.015441172852828,0.10833916794460342,0.005531075824243641,0.10229502802303914,0.004821001142806205,0.09355257329637393,-19.982396431500433,0.1034835892780535,-0.018908817768454513,0.09360799183590122,0.007159908165859148,0.08609635408682684,0.004222319536682614,0.10318682833559473,0.0,0.0,0.0,0.0,0.0
2,0,0.8892583696837403,7.670822942643391,19.640897755610972,0.19890065045643965,0.5106853855570803,0.08892994372167734,20.009865002594527,0.09276739791577886,0.9991970591021514,0.0904817111905759,-3.0068795422026997,0.08622354099981501,2.9827284040053303,0.08454182616813184,-20.021928039252575,0.1002976602379418,-0.0054903460646277494,0.09149813812528611,5.381990125889494e-05,0.0849339973548875,-19.975360745531272,0.09698781366741617,-0.02674717972891762,0.09419953659082583,0.00972775692088904,0.08505569136302049,0.0015777058947659959,0.10266286013546595,0.0,0.0,0.0,0.0,0.0
3,0,0.8906825600075488,7.932668329177058,19.586034912718205,0.19805767375331207,0.5102649183228232,0.08855233223170134,20.00417080229079,0.08709985075290497,0.9902348964723565,0.08815149515085915,-3.004470842130616,0.07832223665930844,2.979539770876777,0.07861862852091138,-20.02432324980251,0.08947844486670434,-0.01057889212514368,0.08689477868645164,-0.009143148215675212,0.08371584725957358,-19.976358852592867,0.08988172466003704,-0.02826194877118302,0.09042611825592015,0.008998052342929193,0.08284554724394112,0.0018486502116328075,0.10079242918225717,0.0,0.0,0.0,0.0,0.0
4,0,0.8918001556658413,7.172069825436409,19.64588528678304,0.19641723432546573,0.5185732780592106,0.08421164571606048,20.00435196277718,0.08833403812802434,0.988177430790096,0.08907179565074402,-3.0025933576672768,0.08020353291050764,2.9804064474112293,0.07459642724177828,-20.032869404238074,0.0872363207700599,-0.00950408799323926,0.08382509347851187,-0.010417874613943858,0.0850179517951513,-19.97925593613641,0.08856534384793825,-0.02269979493966326,0.09106635711293808,0.011290431946860533,0.08268683107271237,0.004317948360132772,0.0992380802160912,0.0,0.0,0.0,0.0,0.0
5,0,0.8899745936922426,7.491271820448878,19.638403990024937,0.197921917165718,0.512630113558394,0.07840873948298817,20.007129789012616,0.08497993215663613,0.9917438475386152,0.08715248697292804,-3.0041564512173546,0.08223028239958931,2.983410609636537,0.0753681564913137,-20.03223715183985,0.08709243179158188,-0.015399167801006208,0.08368721179155922,-0.01686884870312895,0.08472197155390108,-19.972994928458323,0.09410711843207285,-0.026619493902057326,0.09046059329405523,0.015226850953374014,0.08282053781981996,-0.002763682376457033,0.1007136979268837,0.0,0.0,0.0,0.0,0.0
6,0,0.8933033420775645,8.01496259351621,19.56359102244389,0.19845816157087734,0.5159351536672887,0.07785257876520418,20.00727482629519,0.0779905458923515,0.9877568180019557,0.09166457346056436,-2.999796831503255,0.08256194187596838,2.9775980611884876,0.07177743181022443,-20.03710618809988,0.08965297908853183,-0.015759386216851957,0.0725523690752643,-0.01718425183264807,0.0862048186205114,-19.97378539720972,0.0936042166806516,-0.023523723740310424,0.08728635908207798,0.016137238567232343,0.08155319759379745,-0.002163069430057514,0.1008421203453195,0.0,0.0,0.0,0.0,0.0
7,0,0.8909551300695505,7.2992518703241895,19.74064837905237,0.19726442397234353,0.5184712038540384,0.07898549484947362,20.0068192691916,0.07983345808793299,0.9885607031425505,0.09109597042536828,-3.003507766483093,0.0815483088416762,2.9791764055877374,0.06717951277924111,-20.03734246451614,0.08560435632463376,-0.016727099121302626,0.07336948859260463,-0.02064744817147752,0.08320867222560556,-19.971326057913856,0.09696863102324318,-0.025082223228656227,0.0887654640818849,0.018618234303387174,0.08236480712726862,-0.004311994041108443,0.10204008627908487,0.0,0.0,0.0,0.0,0.0
8,0,0.8949064464778209,7.523690773067331,19.39650872817955,0.1942677625954526,0.5164864623806728,0.08007814000545536,20.007934782377212,0.07914886039915654,0.9914773218781753,0.0884749090594886,-3.006279796893362,0.07610576068437484,2.972853297462599,0.06751654044508743,-20.02926491271796,0.08069582843208609,-0.015224328597846696,0.07082369970306636,-0.021250233707968826,0.0774201654842018,-19.971118510789665,0.09855988359792213,-0.02892376557151483,0.08681512168815042,0.01591477853918588,0.08847044247618291,-0.010609954841864545,0.09744370331387331,0.0,0.0,0.0,0.0,0.0
9,0,0.8916989804009793,7.339152119700748,19.72069825436409,0.19809173096666335,0.514961770323688,0.07597702963351531,20.01433872368244,0.07858896076069198,0.9957256279481124,0.08775333914976398,-3.011350761039468,0.07589198626231725,2.9723470960801874,0.06655320518613103,-20.027196877120513,0.08124375010699766,-0.020986026228358327,0.07299179984968579,-0.023324689691488126,0.07365640227856027,-19.965093395472724,0.10031803800131742,-0.035545638830197436,0.0848530776636494,0.0188996187508511,0.08081539807278078,-0.011455316582375781,0.09898136391017257,0.0,0.0,0.0,0.0,0.0
