generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,0,0.878123250440051,8.032418952618453,20.91271820448878,0.2051888538724728,0.5037786082798459,0.09783321747372968,20.004244224012517,0.10430259376790627,0.9907822923436846,0.10075295936101666,-3.0025256011162584,0.10616510225640055,2.9856863249921894,0.09425501703832913,-20.01724686061587,0.09888543577017982,-0.009295311507624787,0.10903019905358119,0.012323284576337365,0.09636421046360781,-19.993046689821497,0.0954600594269231,0.004553705593004025,0.09227294176214951,-0.006949410859247822,0.10161032714101007,0.004422031621680682,0.09508622707288393,0.0,0.0,0.0,0.0,0.0
1,0,0.8793609466596277,7.623441396508728,20.897755610972567,0.20420541363851677,0.500386660756047,0.09574097800005768,20.008536433159666,0.09736869800766272,0.9915287770923631,0.09985401118755782,-2.9974830416023277,0.10337591653673142,2.989638071262098,0.09626531611614228,-20.01705235695951,0.09794974556378504,-0.00392378047629959,0.10531689576465642,0.015319511442094369,0.09699061527441566,-19.990060144334226,0.09188679169351834,0.007563209868796696,0.09215150516850365,-0.012224863024441819,0.09982438412939111,0.006344863230351027,0.09501817940085282,0.0,0.0,0.0,0.0,0.0
2,0,0.8850669460816953,7.71072319201995,20.523690773067333,0.2020872599968109,0.501188939313854,0.08999903967660018,20.011380746522857,0.09057751126944107,0.9872405801077668,0.10115470038520065,-3.0010941868825487,0.10351849169671307,2.988090310160103,0.08758863311989666,-20.012240702129546,0.09373022916770396,0.003489285592485008,0.09369133519797945,0.019788782316454263,0.09199628936206301,-19.985074753470943,0.0829640996979341,0.015406574684659878,0.08975196031033425,-0.00815770187165573,0.09731347737707079,0.0002335349419853285,0.09099234503761192,0.0,0.0,0.0,0.0,0.0
3,0,0.8773881322022223,7.548628428927681,20.925187032418954,0.20607745159218627,0.49616471238581383,0.07969705881395635,20.018578686835696,0.07658758949525032,0.9876698834698041,0.09968539153704786,-2.9942180208931286,0.09298335228499757,2.9867802941284207,0.08694541741304929,-20.016119619033756,0.08677043595716738,-0.0019104514328659166,0.08630955424374576,0.013711550207317385,0.08611773227512876,-19.980268089153117,0.08038565193832241,0.021086961213602932,0.09037547763026116,-0.008981293280794956,0.09066316427806191,0.0018424010693689958,0.08333206475052166,0.0,0.0,0.0,0.0,0.0
4,0,0.8806674921851753,7.872817955112219,20.960099750623442,0.20526610796769623,0.4999959605916553,0.08067307199826973,20.02106541495619,0.07532649895342751,0.9873455982401804,0.10198925118092803,-2.9988356384936807,0.09348869958296589,2.9883973736131773,0.08981366877074864,-20.018704295090064,0.07817881990736944,0.0035616673472076174,0.0814639262658168,0.01090152358000482,0.08530099725522142,-19.977906952746274,0.0803178317600675,0.023766034929560236,0.09098688038973668,-0.007356811965302134,0.08919668130701625,0.0027456590837679237,0.0805024647628547,0.0,0.0,0.0,0.0,0.0
5,0,0.8796578070812975,7.750623441396509,20.788029925187033,0.20498051707833045,0.4947181368062928,0.08392231101358842,20.026010146214563,0.06901289795386698,0.9853007060335499,0.10087793415612985,-2.99699507805718,0.09060886347622452,2.990828751846973,0.09241818362040534,-20.020798726288398,0.07197865878673511,0.004103887324528596,0.07847844525054865,0.004550555008191698,0.0855761255287093,-19.981653450993907,0.07823390397259129,0.018156235500127522,0.0866405713904982,-0.017174869312753294,0.08851446829852484,0.0018027200092309802,0.07624449475025608,0.0,0.0,0.0,0.0,0.0
6,0,0.8771329587227663,7.396508728179551,21.221945137157107,0.20770136327473765,0.49399119367345473,0.09024519262221829,20.029377926837665,0.06842383448278143,0.9845366972318019,0.1002644892390841,-2.9883908066429794,0.08752097349385554,2.9900573998416085,0.09257302784852572,-20.01748812925132,0.06758391363988654,0.0032503145649367977,0.08064966785954986,0.0034287970239473566,0.08440725240126423,-19.98557432815829,0.08052795086043493,0.01735076227758632,0.08452320331981551,-0.02616238262017371,0.08068024063099825,0.0032387698902972667,0.07710857027325008,0.0,0.0,0.0,0.0,0.0
7,0,0.8812711815422869,7.668329177057356,21.144638403990026,0.20500534375236426,0.4975980836139618,0.09124656147737734,20.034363307008558,0.06664613151515303,0.9815253926645013,0.10275218541396022,-2.9934204956891515,0.09044368812590624,2.98359716420008,0.09026322412867767,-20.01848035573202,0.06829423398282321,0.005858543135123191,0.07721830107519148,0.010293726654494018,0.08307075750465039,-19.9843493933712,0.0772790862139839,0.015736176463204018,0.08069173041578882,-0.028938534958615217,0.07378258943354055,-0.002141683749739883,0.07383207485869862,0.0,0.0,0.0,0.0,0.0
8,0,0.8786588086677851,7.6259351620947635,20.947630922693268,0.20578686799432952,0.5033237651195899,0.09127278073530384,20.03666575371747,0.06669688970801912,0.9709533807752282,0.09542580410003094,-2.9981311262548402,0.09452826117738325,2.982193718405685,0.08737999765559572,-20.01857457306899,0.06583072669189059,0.0034831608339129403,0.08053042795466898,0.007337430646754364,0.08320343277869365,-19.9921754057298,0.07914854191555724,0.010045409955093957,0.08205986813016673,-0.029293271169841324,0.07622520124563872,-0.0012955622575874313,0.07471997285075689,0.0,0.0,0.0,0.0,0.0
9,0,0.8818273937570597,7.44139650872818,20.977556109725686,0.20387738196180571,0.5038990934805568,0.085362578924475,20.03644298866098,0.06703435691334524,0.9703316432135984,0.09217925700175068,-2.992438458958222,0.09757560013161404,2.987306087152667,0.0898995407796958,-20.016888222942526,0.06526661487484646,0.004826798597402238,0.08192125904142442,0.009686655232931001,0.08464115489729644,-19.989740402211545,0.07812982714365693,0.013754924312346201,0.08547099439226707,-0.0274216152901616,0.07383629819776058,-0.0018822530784117807,0.073285999634185,0.0,0.0,0.0,0.0,0.0
