generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,43,0.05840930966108961,21.139650872817956,42.25935162094763,0.9803947920773922,0.26861260207690757,1.1856589074968125,0.17979212060606298,0.8215560594057884,0.009164059679614435,1.0587501247858602,0.031100078678407677,1.1032040957013338,0.17343052273249854,0.9383155915616197,0.30288636912432015,0.9132245093504454,0.5098812048580168,1.0868164371638946,1.1907102327357904,1.060298769110302,1.048971188502338,1.22155885068039,0.4840129919653842,0.5173779107795512,1.4689671684952967,0.4812715388715625,0.12132978715632306,0.3613258645902459,0.0,2.0,2.0
1,45,0.06147309315499233,18.648379052369076,41.281795511221944,0.972464149838947,0.30416969468278915,1.0494405344724773,0.31295832812997504,0.7056698623385974,0.1424817366948744,0.9325310323177974,0.13023995987658066,0.9961961650950654,-0.013793509481109058,0.856960421529243,0.19412303104881132,0.9661184322424538,0.4153793987874306,1.0437828206147313,1.098019457167322,0.9904767946990772,1.2960840459977103,1.2131722952539312,0.510687330929292,0.5083485076131394,1.580804301126816,0.4619784073132024,0.12132978942093918,0.3613258638298095,0.0,2.0,2.0
2,44,0.06181579303682492,19.67581047381546,41.16209476309227,0.9710934214517623,0.4170249223294543,0.9334769525127425,0.29418546735757567,0.6809933972521764,0.16686873386719253,0.8942358397706083,0.2225595732951556,1.0590568384606458,-0.017149928691048286,0.8779025074351544,0.10888158092305107,0.9463758486072336,0.383617936020448,1.0274684661212585,0.9770899005189505,0.8582493894069169,1.3848335417256796,1.111911503969432,0.4211772867910568,0.46332216323649367,1.6002748773351787,0.44320951476366677,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
3,45,0.061896049371538114,19.433915211970074,41.28927680798005,0.9717675172457486,0.4468118621175958,0.920180179871845,0.31953738072311794,0.6718936253334933,0.10198338214640174,0.851137317819585,0.3619108083076584,1.0864093587027703,-0.05791660818044911,0.8677817163222713,0.0002526481265932547,0.9736247632785,0.29087973140714146,0.9831247766214702,0.9812255752387977,0.8547567652082417,1.3509409551490827,1.113334329836505,0.38811412276644486,0.5104632953805806,1.5789257804096326,0.44395276687745094,0.12132978942093918,0.3613258638298095,0.0,2.0,2.0
4,44,0.06227251224920669,19.865336658354114,41.03491271820449,0.9718424267715574,0.4689166580408769,0.898808013624227,0.3212160552683042,0.6675075962490974,0.09461384749901472,0.8529285122695721,0.41813928350616336,1.0756758229932577,-0.09829732897435346,0.8736503606255678,-0.017275568899856156,0.9703809640739273,0.26395852163151445,0.9406893551216758,0.9547211473363011,0.8673447926955429,1.3868316580933018,1.130898782719222,0.4403868823874939,0.5001377590286016,1.5959814401075072,0.46162625224931175,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
5,44,0.06149140676796141,20.08229426433915,41.119700748129674,0.9718275513758718,0.4429613751203266,0.9175050111639743,0.301961712251952,0.6799166846135271,0.08767886243473681,0.8467549352483177,0.43837261688321455,1.0967537068149336,-0.11364785572397666,0.8832778302377849,-0.04785023528753194,0.9810523552069447,0.23961361376383938,0.9395763678231814,1.0084135700725265,0.8804204987274812,1.321461901915509,1.138304219792422,0.47870413319381444,0.47837985607484385,1.5467233935290896,0.46587957014448106,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
6,45,0.06287775022292781,19.423940149625935,41.119700748129674,0.9730958843624306,0.4427646797661184,0.9138531372733183,0.3386868676515269,0.6637694259057,0.12400017212234685,0.8587427349173392,0.4147181950599434,1.0766961794042795,-0.10475514448388928,0.877229848404846,-0.019909575290874768,0.9746078818998453,0.2418506748474622,0.9490140773513962,0.9289659355112755,0.8598599785792465,1.4032872197733341,1.1273373349197526,0.46701740695603045,0.45172569763726256,1.6036176133523279,0.46045776615214146,0.12132978942093918,0.3613258638298095,0.0,2.0,2.0
7,44,0.061628352868510664,19.214463840399002,41.17456359102244,0.9728111167514845,0.4659578393740011,0.9101551384273298,0.3553337365692778,0.6597531583810899,0.0834628997929149,0.8522503721224515,0.4230623083997329,1.0809393268393188,-0.10162598234417335,0.8749303347409609,-0.05446534521269069,0.9952587521740395,0.21137049987217205,0.9564074704692538,0.9283405138058409,0.8415828284804231,1.3979418494373455,1.1128611731781628,0.39994385625750867,0.49602522309743885,1.6029218232846254,0.44327018533002116,0.12132978851212078,0.361325864134982,0.0,2.0,2.0
8,45,0.06271752880332082,19.00498753117207,41.03990024937656,0.9722162787354254,0.47055950313058725,0.8954530702003077,0.34958554961886956,0.6627759499835092,0.08120881466685835,0.8538634759970721,0.38823116750593073,1.066666007319866,-0.11561132530732403,0.8849196421054956,-0.04844900717720615,0.9967062210819553,0.2194586760088887,0.9562095828360115,0.9167622927943287,0.8597683523878022,1.4324906663662331,1.1301058353287343,0.4460111779866315,0.4795677009645316,1.621542964742367,0.4631300532363908,0.12132978942093918,0.3613258638298095,0.0,2.0,2.0
9,45,0.062003492924603706,19.24937655860349,41.03491271820449,0.9708042161230903,0.4452450816260114,0.9127046863772894,0.3675665019284527,0.6430329521148259,0.1628731257439745,0.8489888746446992,0.46223084396034453,1.0441794391961359,-0.10211492383892048,0.8710012480167509,-0.006613974759634723,0.9668365419370633,0.2556468043817835,0.9440185653646829,0.8910386505957989,0.8569600560226375,1.455261347404105,1.1308385313883103,0.4245897606446161,0.4618828939082782,1.6351052075950807,0.46712665838835404,0.12132978942093918,0.3613258638298095,0.0,2.0,2.0
