generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,39,0.0588668981620749,23.920199501246884,42.119700748129674,0.9804762243028362,0.08127807360871236,1.0588974647254512,0.06916947430228226,0.8727851873827714,0.17593959499408382,0.9631254031536539,-0.16501228726948322,1.16627800773573,0.01680896298102768,0.959036627181884,0.1715834289733776,1.0463129301776781,0.533700038100942,0.9714160794584566,1.146859251171131,1.0047194364196774,1.0558454305978253,1.0337187550696207,0.5370793686560296,0.4837756512672317,1.5928784640704452,0.5209619289294123,0.12132977089961007,0.36132587004908956,0.0,2.0,2.0
1,41,0.05952014678225772,22.144638403990026,41.8354114713217,0.9787975103165624,0.1302455497287174,1.075761244819495,0.10895624795122594,0.7857483809799443,0.07119496947683618,0.889988250849908,-0.24927615366420497,0.9922606314990711,-0.04018395424988299,0.9178183866512274,0.12043786766668843,0.9955476243216147,0.51075535327664,1.022038515795204,1.3099574360117394,0.9549356247363013,1.0548880332334325,1.0446465148305688,0.48750007202537426,0.4928723446562089,1.6199316234736294,0.4874675942031534,0.12132978211632718,0.3613258662826276,0.0,2.0,2.0
2,42,0.06040774108639057,22.92768079800499,41.70074812967581,0.9807393788374204,0.150791893417264,1.0439702390660703,0.0719861913145539,0.7314407291701189,0.08740552644569233,0.873749878599803,-0.3134526336072513,0.9633659467464228,0.010022062439833657,0.8744283923154712,0.2660569008287678,0.9279250412212002,0.6235676261041144,0.9772764625783453,1.2580322726618123,0.8551076869004147,1.087412071027204,0.9601778863169612,0.5513803998109768,0.41414553102527113,1.5408319210332728,0.48539986301410476,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
3,43,0.05949710160760143,21.43640897755611,41.605985037406484,0.9761799243267631,0.15606505080638147,1.0448321614717422,0.06936766374316587,0.7226936536137233,0.07649560698384168,0.8911570601010071,-0.3268882337187099,0.9618495765537147,0.010015964535457694,0.8740642509008234,0.3020672252813973,0.9421033334235906,0.6579938698885173,0.9776425597718469,1.2506320551501724,0.8393123651150416,1.0832786234695686,0.9367125513964657,0.5658253613473072,0.41170313413111054,1.5188679299166135,0.49545024856579173,0.12132978715632306,0.3613258645902459,0.0,2.0,2.0
4,42,0.059548776569016616,21.897755610972567,41.68329177057357,0.9780694215093058,0.14920093895546133,1.051164997458715,0.035146672826614545,0.7253519486823429,0.13071177555251753,0.855910689959284,-0.362892686612321,0.9767198967247299,-0.028025584424442793,0.8588247994820766,0.3309152677702669,0.9583413666146386,0.7202479725379803,0.9977744107272899,1.2083938513669465,0.8559746512689818,1.1656710813560622,0.9251454104894584,0.6053845704753361,0.3903023741067873,1.5406949383520407,0.484510091222078,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
5,42,0.060759871388383936,22.443890274314214,41.36907730673317,0.9781324892005971,0.032519558164659915,1.0129725858702456,0.026301761602131876,0.7331208327018818,0.09762638244043446,0.8600257193725654,-0.36365624101473576,0.9476078685465213,0.0011502107233022849,0.8460560655344038,0.2560292964115296,0.9208602316114278,0.5967531548056056,0.9699711810023276,1.0800300397217557,0.9225846722572735,1.251960329291332,1.0193550179621065,0.606247860195699,0.39629980232976547,1.5615430772150145,0.48678468935035024,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
6,42,0.06057870381493414,21.478802992518702,41.583541147132166,0.9781280466277729,0.07386634383650482,1.0038653689665997,0.03728427309922542,0.7253611040786665,0.138813304553134,0.830011393517261,-0.368038261540473,0.9551947828620937,-0.09565029789842289,0.8192697279272788,0.3073493555047801,0.9643837954173418,0.7580328112441244,0.9991957330513,1.1696069978020487,0.8670592416582897,1.2152177159545472,0.9350256212120667,0.6114137456203972,0.3738132418544545,1.550405196640091,0.467245789825396,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
7,41,0.05943536665908728,23.206982543640898,41.775561097256855,0.9814530111971271,0.07377933988254395,1.0034631051755012,0.053058964915250674,0.72427993181949,0.08983847132163465,0.8852758043724774,-0.3223475989549263,0.9364734345807205,-0.039285995598525,0.8402286100899327,0.31708773927193096,0.9399548247666875,0.71079409801093,0.9657802497212765,1.2345227222446942,0.8711556326010181,1.1725279157157797,0.9433135565043389,0.5825571997716449,0.39202857871227215,1.524928019397101,0.48836373973055114,0.12132978211632718,0.3613258662826276,0.0,2.0,2.0
8,43,0.0612380257282936,21.887780548628427,41.19201995012469,0.9781466368667147,0.015263205133975753,1.0059601285853246,0.03399345658667017,0.7365676290177576,0.10681025349347016,0.8541035679594658,-0.34486402049742787,0.9404082231410495,-0.04159751868822751,0.8280196900580324,0.2265400671716636,0.9258517030666591,0.618113035586573,0.9807819278101731,1.0961056557347706,0.9365417671223142,1.2612666824823187,1.0243045834565898,0.6100437312620588,0.39778116749089865,1.568649229790235,0.48339461524016886,0.12132978715632306,0.3613258645902459,0.0,2.0,2.0
9,42,0.06028503738768567,22.65087281795511,41.6284289276808,0.980520254824551,0.06516638070653688,0.9993716696165946,0.02773598699346614,0.7305757600068289,0.10844258207306331,0.8823844402375035,-0.30613680362973783,0.9137551112222736,-0.05826533707827508,0.8273628555292033,0.29113346604764107,0.9414712831122024,0.6505697729039132,0.9881000665676881,1.1843597414930538,0.8730477384691192,1.187442436873814,0.976821216908779,0.5770551710030601,0.381613071825643,1.5206858951944922,0.4718137194873228,0.12132978513371052,0.3613258652694196,0.0,2.0,2.0
