generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,39,0.06033651886249163,21.18204488778055,41.753117206982544,0.9786954051353994,-0.10122315452084073,1.1154138946344927,-0.26659244289908807,1.060118719520008,-0.06872889279989146,0.9237779376374599,-0.03427508785294403,1.058876342555773,-0.1944801501783832,0.8069450142483938,0.17817133878426708,0.8707394979989517,0.5580407828061523,1.048557050216395,0.9937920016094027,1.0736427957156596,1.0744445364293205,1.013327192422465,0.493733048681388,0.5036029012738719,1.5330750301626799,0.47374589855213295,0.12132977089961007,0.36132587004908956,0.0,2.0,2.0
1,37,0.06006778764500333,22.955112219451372,41.96508728179551,0.9785541013900079,-0.14898624587985898,1.0916831716618083,-0.2871257678163679,0.9704181439179648,-0.15668988054552885,0.9377943424583626,-0.010117817220592847,1.0632063722049705,-0.2751532722191564,0.8070028910329071,0.1604707334542918,0.8143048043297321,0.5716632887669224,0.9951403343188184,0.849881990434872,0.9974503270193633,1.1198434877684165,0.9528055286106122,0.49858946490109485,0.47195082043500625,1.4902521542281577,0.47880244037631425,0.12132974593634706,0.36132587843149117,0.0,2.0,2.0
2,37,0.059363078929065644,23.241895261845386,41.96758104738154,0.9809166331582344,-0.286643039298298,0.9960700333437508,-0.36825760995797713,0.820473683164291,-0.18766178285810142,0.7873108901039056,0.06665175076163257,0.9951974867707469,-0.3222938051704593,0.8511029151637824,0.14585699542299568,0.7635439766756857,0.5295521237656496,0.9127174893569019,0.7490193304158179,0.9586765351065887,1.1060182281948823,0.9540368262638667,0.5441147956986837,0.43182393861525764,1.4995747583959387,0.46823245823626913,0.12132974593634706,0.36132587843149117,0.0,2.0,2.0
3,36,0.06059482411564856,23.251870324189525,41.80299251870324,0.978077200662676,-0.2844643560698856,0.9976920069169766,-0.4301525256831611,0.8170916700206423,-0.20205992911106208,0.7818384632981314,0.04865801767802758,0.9858535941342889,-0.21027945697319922,0.8864193698632953,0.21480372987690266,0.775856705819285,0.45060986656076835,0.899915816029308,0.6427526317313602,0.9663792920312264,1.135349077899319,1.014315200279811,0.5924465681425787,0.4563859583211424,1.5445788867380317,0.4777778021525841,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
4,36,0.05974849910596402,24.743142144638405,41.780548628428924,0.9815458567204357,-0.31730256226966097,0.9973765935937301,-0.42180289544380306,0.8089221092470124,-0.16013976806260624,0.7348703965190712,0.0821015978844058,0.9922058911209611,-0.2540704128796287,0.8570418902775259,0.14798663668917297,0.7360921498352606,0.5634183301071571,0.9021530423095929,0.6958506951358739,0.9775665127465505,1.1997796295555392,0.9278209214609727,0.5892565899776147,0.4511188367702871,1.5099027635448135,0.46077233406427576,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
5,37,0.05941140824099186,22.688279301745634,41.917705735660846,0.9782882981983723,-0.42030571688291096,1.0339702945656473,-0.3441844321492116,0.8056987924494731,-0.19988334089949816,0.7086083898881729,0.06633278770100849,0.998063594038402,-0.317855901995948,0.8151778652730504,0.042711053460518046,0.7486301499828129,0.4280814060944208,0.9309315757787869,0.6973281635963973,0.9366229905609192,1.0934896958128435,0.8709611090043127,0.5564959842327274,0.4332512977823031,1.499287318781094,0.4599177689220468,0.12132974593634706,0.36132587843149117,0.0,2.0,2.0
6,37,0.060713291798729224,23.466334164588527,41.61346633416459,0.9783013479952071,-0.40385391281316946,1.040795686518412,-0.3781674003441942,0.8076799175473051,-0.18079309927791357,0.7188087877855112,0.0567661863285368,0.9893347505477015,-0.24268990719744313,0.8445815328154789,0.07065001091159032,0.7621403054341971,0.451074597851594,0.9341807744871113,0.6673121201678648,0.9499551117179074,1.1623300646272465,0.9087334939985279,0.5829728082401219,0.44725868924812356,1.5145271795758815,0.4641816569528096,0.12132974593634706,0.36132587843149117,0.0,2.0,2.0
7,36,0.06129438825301203,22.90773067331671,41.66084788029925,0.9774210472809046,-0.3992143518990516,1.0428329441925872,-0.4018427251015123,0.8063610378889082,-0.1730225048835673,0.7222977668163526,0.03557065042879014,0.9856225727298107,-0.16021852178750154,0.8679908889612462,0.08773505325017768,0.7562497795377798,0.4331018928329834,0.9290662682284471,0.6276800947449438,0.9675674426838435,1.2139698729898076,0.9227097412838405,0.6093616286682212,0.4597262270675393,1.5333447684291575,0.47027610101703776,0.12132972364073229,0.36132588591810844,0.0,2.0,2.0
8,38,0.0611662825767882,23.65087281795511,41.72069825436409,0.978974546634401,-0.31017261860584744,1.0128806059857045,-0.45795066908063914,0.8096141770274212,-0.235447597276698,0.8308731557754448,0.027180196409062038,0.9804876226808792,-0.17309753562182134,0.9299541180368474,0.22945859890879675,0.7782600727335622,0.41224956513876854,0.9501335136268213,0.629995207162596,0.9808081946016743,1.1337792521174868,1.1034373667260349,0.6091182799034126,0.4721971624673484,1.5662787864048082,0.48656854813146416,0.12132976088154458,0.36132587341305306,0.0,2.0,2.0
9,38,0.06023024840571316,24.01995012468828,41.748129675810475,0.9797491019798813,-0.362649744148948,0.9869432267396224,-0.45073518688636893,0.8100927906467562,-0.1713532565997878,0.7406287289752254,0.05650668931892016,0.9857189230540027,-0.1943785688993729,0.8939746744174658,0.14267186965987272,0.7356129729557844,0.5465882917990429,0.934132242272038,0.6866083246748214,0.9735896469778574,1.2587729206220202,0.946901445116617,0.6091801590047748,0.46543520559233964,1.5252287138114689,0.4679418487946769,0.12132976088154458,0.36132587341305306,0.0,2.0,2.0
