qoi,param_i,param_j,S2,S2_conf
race_steps,k_s,draft_coefficient,0.0242007366214529,0.22771615305985715
race_steps,k_s,breakaway_speed_frac,0.03627754425176442,0.17364504969837755
race_steps,k_s,k_aero,0.09688828015747455,0.23920727502548872
race_steps,k_s,c_roll,-0.04160343874302601,0.20228385435317497
race_steps,k_s,recovery_rate,-0.03000063550776086,0.1976309021330403
race_steps,k_s,cp_fraction,-0.07962683478044029,0.2484831967387679
race_steps,k_s,group_radius,-0.009968797595367075,0.17381108629508452
race_steps,draft_coefficient,breakaway_speed_frac,-0.22167502676130815,0.21683829240403577
race_steps,draft_coefficient,k_aero,-0.14437109259526984,0.11260397343283601
race_steps,draft_coefficient,c_roll,-0.16131159749649174,0.14793905479625008
race_steps,draft_coefficient,recovery_rate,-0.24572559758822546,0.2045446817888395
race_steps,draft_coefficient,cp_fraction,-0.2921162016425449,0.2206528169562075
race_steps,draft_coefficient,group_radius,-0.23620429191381606,0.19723422329420878
race_steps,breakaway_speed_frac,k_aero,-0.1092744536544655,0.27483693018898164
race_steps,breakaway_speed_frac,c_roll,-0.14152736140435884,0.23144336176507246
race_steps,breakaway_speed_frac,recovery_rate,-0.19125660511074397,0.35489261827055674
race_steps,breakaway_speed_frac,cp_fraction,-0.20193200844265757,0.380911301399242
race_steps,breakaway_speed_frac,group_radius,-0.20887720327442375,0.35466660629368624
race_steps,k_aero,c_roll,0.20743162046404012,0.349441387768713
race_steps,k_aero,recovery_rate,0.09311412571090372,0.3644541985595227
race_steps,k_aero,cp_fraction,0.17798152131094258,0.38029763611579265
race_steps,k_aero,group_radius,0.08447900216636356,0.32528024897555624
race_steps,c_roll,recovery_rate,-0.18331772919040434,0.16726520526420563
race_steps,c_roll,cp_fraction,-0.20870787765549614,0.18832840897521877
race_steps,c_roll,group_radius,-0.15508355435503443,0.16427650496675616
race_steps,recovery_rate,cp_fraction,-0.2982024781841932,0.30483981586631353
race_steps,recovery_rate,group_radius,-0.2699064766885999,0.28329501536227997
race_steps,cp_fraction,group_radius,-0.1993817034325876,0.18868126170914182
n_finished,k_s,draft_coefficient,-0.06867103541638185,0.09122244594431482
n_finished,k_s,breakaway_speed_frac,-0.07070836946331269,0.09030631637150664
n_finished,k_s,k_aero,-0.027669687721899372,0.10549283553071477
n_finished,k_s,c_roll,-0.057141576832614324,0.08802398141653858
n_finished,k_s,recovery_rate,-0.05980400200758074,0.08586830872482634
n_finished,k_s,cp_fraction,-0.01590871390552611,0.08137289953563542
n_finished,k_s,group_radius,-0.07906606936038106,0.08775281765979802
