k_s,draft_coefficient,breakaway_speed_frac,k_aero,c_roll,recovery_rate,cp_fraction,group_radius,race_steps,n_finished,mean_stamina,num_groups,mean_exposure
0.9551756401546299,0.7794098014943303,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.6767603841610252,2.9460623245686293,400,46,0.0,4.0,1.0
0.7560326832346618,0.7794098014943303,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.6767603841610252,2.9460623245686293,368,50,0.0,0.0,0.0
0.9551756401546299,0.7596740223467351,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.6767603841610252,2.9460623245686293,400,46,0.0,4.0,1.0
0.9551756401546299,0.7794098014943303,1.0250303983688356,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.6767603841610252,2.9460623245686293,400,42,0.0,8.0,1.0
0.9551756401546299,0.7794098014943303,0.9225435180589556,1.2561532321572304,1.9198364010080695,0.1769967122375965,0.6767603841610252,2.9460623245686293,400,15,0.0,23.0,0.9571503795812621
0.9551756401546299,0.7794098014943303,0.9225435180589556,0.8024761153757572,3.9316110061481595,0.1769967122375965,0.6767603841610252,2.9460623245686293,400,38,0.0,9.0,0.9166666666666666
0.9551756401546299,0.7794098014943303,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.2518338739126921,0.6767603841610252,2.9460623245686293,400,42,0.0,8.0,1.0
0.9551756401546299,0.7794098014943303,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.7057713147252798,2.9460623245686293,400,42,0.0,7.0,1.0
0.9551756401546299,0.7794098014943303,0.9225435180589556,0.8024761153757572,1.9198364010080695,0.1769967122375965,0.6767603841610252,5.307795199565589,400,43,0.0,6.0,0.8571428571428571
0.9551756401546299,0.7596740223467351,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.7057713147252798,5.307795199565589,400,10,0.0,22.0,0.9
0.7560326832346618,0.7794098014943303,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.7057713147252798,5.307795199565589,400,32,0.2715293744195317,13.0,0.7777777777777778
0.7560326832346618,0.7596740223467351,0.9225435180589556,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.7057713147252798,5.307795199565589,400,41,0.6858518098100872,4.0,0.5555555555555556
0.7560326832346618,0.7596740223467351,1.0250303983688356,0.8024761153757572,3.9316110061481595,0.2518338739126921,0.7057713147252798,5.307795199565589,400,49,0.020206844618959784,1.0,1.0
0.7560326832346618,0.7596740223467351,1.0250303983688356,1.2561532321572304,1.9198364010080695,0.2518338739126921,0.7057713147252798,5.307795199565589,400,34,0.29837894957744787,7.0,0.727270790526911
0.7560326832346618,0.7596740223467351,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.1769967122375965,0.7057713147252798,5.307795199565589,400,34,0.038799895340504965,12.0,1.0
0.7560326832346618,0.7596740223467351,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.6767603841610252,5.307795199565589,400,27,0.03972028951790514,11.0,0.9255582869945578
0.7560326832346618,0.7596740223467351,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.7057713147252798,2.9460623245686293,400,27,0.04750677286685209,17.0,0.95671540082641
0.7560326832346618,0.7596740223467351,1.0250303983688356,1.2561532321572304,3.9316110061481595,0.2518338739126921,0.7057713147252798,5.307795199565589,400,29,0.13931657173143425,14.0,0.9523809523809523
0.8020045661367475,0.6384248579852283,1.0089058300480247,1.0237216544151306,3.6839882573112845,0.10149591851979493,0.7617964402772486,4.902431721799076,400,22,0.0,15.0,0.9226173954739183
0.9642001902684569,0.6384248579852283,1.0089058300480247,1.0237216544151306,3.6839882573112845,0.10149591851979493,0.7617964402772486,4.902431721799076,400,16,0.0,20.0,0.9411764705882353
0.8020045661367475,0.5997150319628417,1.0089058300480247,1.0237216544151306,3.6839882573112845,0.10149591851979493,0.7617964402772486,4.902431721799076,400,20,0.0,18.0,0.9666666666666667
0.8020045661367475,0.6384248579852283,0.9238861480727791,1.0237216544151306,3.6839882573112845,0.10149591851979493,0.7617964402772486,4.902431721799076,400,19,0.0,22.0,0.9354838709677419
0.8020045661367475,0.6384248579852283,1.0089058300480247,0.855863239467144,3.6839882573112845,0.10149591851979493,0.7617964402772486,4.902431721799076,400,34,0.0,11.0,0.9062573063260715
0.8020045661367475,0.6384248579852283,1.0089058300480247,1.0237216544151306,2.2362025659531355,0.10149591851979493,0.7617964402772486,4.902431721799076,400,23,0.0,18.0,0.9629629629629629
0.8020045661367475,0.6384248579852283,1.0089058300480247,1.0237216544151306,3.6839882573112845,0.05121545597910881,0.7617964402772486,4.902431721799076,400,18,0.0,19.0,0.9218753020243393
0.8020045661367475,0.6384248579852283,1.0089058300480247,1.0237216544151306,3.6839882573112845,0.10149591851979493,0.5768366470001638,4.902431721799076,400,39,0.00016467414738226808,8.0,1.0
