qoi,param,S1,S1_conf,ST,ST_conf
race_steps,k_s,-0.11847011387284277,0.21921158763133966,0.5438479122120997,0.26639770045846217
race_steps,draft_coefficient,-0.0005154547340908256,0.11140150390835969,0.27331505596107725,0.14982067603068056
race_steps,breakaway_speed_frac,0.032615209116457176,0.09803940812535517,0.3775754139845345,0.14552886190496553
race_steps,k_aero,0.16169868498508708,0.2175444763092295,0.7108829392490875,0.2700983326502364
race_steps,c_roll,-0.07594313939272926,0.09802529619854766,0.24215441920846462,0.13443181589740028
race_steps,recovery_rate,0.032033446362656454,0.08991045528271221,0.2414640215026362,0.1312112923521606
race_steps,cp_fraction,0.12081783638859313,0.12380664839867649,0.4174226964985401,0.16069114705763493
race_steps,group_radius,-0.006977637727690557,0.08590620036506076,0.17704064154981408,0.11535311503408063
n_finished,k_s,0.0549935495650939,0.07257401232084978,0.14309956527362852,0.04191850387397923
n_finished,draft_coefficient,-0.008895972812876839,0.05046213031901135,0.06308790088507325,0.02035359993648301
n_finished,breakaway_speed_frac,0.031177143495876865,0.06074864515570063,0.09794251915387243,0.03703329851631264
n_finished,k_aero,0.5415445154391835,0.15647232024820518,0.7487434137703318,0.17318445010957265
n_finished,c_roll,-0.02180294703064871,0.04496730583365657,0.07304305588712151,0.04844356885970985
n_finished,recovery_rate,-0.0001888296115940717,0.036671515118078535,0.04105922650263391,0.011158933787246458
n_finished,cp_fraction,0.07146368790968902,0.10320590804793402,0.37708043510665346,0.09700486508684393
n_finished,group_radius,-0.0202344313297446,0.03691083017339266,0.04783104705635278,0.015251760371407522
mean_stamina,k_s,-0.02880523742308146,0.26144179028781755,0.9586019833975528,0.5344386909828545
mean_stamina,draft_coefficient,0.0027776044645162735,0.025462063569516042,0.29653346478502096,0.24126274880298035
mean_stamina,breakaway_speed_frac,0.0804575749185069,0.1295546153030439,0.5433783082908928,0.2751166055132611
mean_stamina,k_aero,0.0431429874799926,0.03624626964582397,0.7209255318597797,0.35603243670151097
mean_stamina,c_roll,0.007227660914643745,0.035592161624049996,0.41273907653187225,0.2939344963481085
mean_stamina,recovery_rate,0.06384694128133574,0.10230542482532852,0.3241038055406742,0.24020213455559733
mean_stamina,cp_fraction,-0.013636050813744265,0.0653100103629193,0.6172300473450791,0.44456989978651124
mean_stamina,group_radius,-0.005417011545091073,0.021012611580485608,0.16475751038552025,0.1870123510878333
num_groups,k_s,0.07035725066346883,0.07784643445237534,0.16378201958263278,0.046651187565416724
num_groups,draft_coefficient,0.007461341436444355,0.048615246003941716,0.071704084660271,0.02108803689948333
num_groups,breakaway_speed_frac,0.04824678490629017,0.06964805511495593,0.12147660963307289,0.03482675788196321
num_groups,k_aero,0.5015826496032924,0.1384488245379117,0.703738502620908,0.13717587883191318
num_groups,c_roll,0.0007418200509071562,0.03881731697174549,0.07504203342893878,0.02941443385404503
num_groups,recovery_rate,-0.005160341734524563,0.03943333811199255,0.058698447235683925,0.014327424533229523
num_groups,cp_fraction,0.06343153281560786,0.09405761217542359,0.3440559786371279,0.09553932454528566
num_groups,group_radius,-0.011586097014115535,0.05787858059105666,0.10466323805756107,0.03596953748808289
mean_exposure,k_s,-0.007983312612321382,0.11087404418504332,0.5686096702629202,0.15804899942749326
mean_exposure,draft_coefficient,0.026812476050059417,0.09303963597452763,0.33828380035470673,0.11123344181187103
mean_exposure,breakaway_speed_frac,0.03366367409239601,0.1402095449570586,0.6433068708569581,0.1483198778372918
mean_exposure,k_aero,0.34720503636203776,0.16896225492887348,0.7723490382938012,0.15856122339545559
mean_exposure,c_roll,-0.036395306857161684,0.0805781524149315,0.4108514514652183,0.136216431598949
mean_exposure,recovery_rate,-0.015806857602727088,0.09897696281897371,0.41170884932704294,0.144517111775186
mean_exposure,cp_fraction,0.09013792807655192,0.13674780007310264,0.5978484821838158,0.15877617391108828
mean_exposure,group_radius,-0.040285331675123555,0.09723503184682482,0.3416979877039221,0.11901797362968444
