metric,param,mu_star,mu_star_conf,sigma
MeanStamina,w_max10_mean,0.01499925408898487,0.01190304045400126,0.03146839742550332
MeanStamina,w_max10_std,0.08203745683651129,0.08701162765387475,0.21407985819693195
MeanStamina,cp_fraction,0.4302613418025478,0.18297143273488636,0.5783856360434594
MeanStamina,recovery_rate,0.040734468684960515,0.04178977761775614,0.10049968535423244
MeanStamina,k_aero,0.03006263313506232,0.02008895878618015,0.05185316102054133
MeanStamina,c_roll,0.035829583831668586,0.034546136086254606,0.07842503642091325
MeanStamina,ref_speed_frac,0.7383530151125182,0.1991975691745811,0.5006616787059822
MeanStamina,k_s,0.1956250267829433,0.11011490101385542,0.33448621067363765
MeanStamina,breakaway_speed_frac,0.19040315919171547,0.139080938955481,0.3812748378982622
MeanStamina,breakaway_cooldown_steps,0.0396697644859874,0.02853778433067458,0.07609765736111886
MeanStamina,utility_decay,0.03234688810141811,0.02678936476406397,0.06593617322413929
MeanStamina,evo_noise,0.015815504014198716,0.011174882356534908,0.03180378950663175
MeanStamina,sim_scale,0.0,0.0,0.0
MeanStamina,evo_bottom_frac,0.04250732014765298,0.03764284499937382,0.0895842497420257
MeanStamina,evo_top_frac,0.016285887532360443,0.013417119858813262,0.03172706428259353
MeanStamina,imitation_mu,0.041878893063774424,0.0467659514451471,0.1120446232377495
MeanStamina,n_agents,0.1281034867295499,0.12380501842553843,0.30268937587846473
MeanStamina,n_teams,0.029962715763479163,0.020364137009922366,0.05263500914056816
NumGroups,w_max10_mean,5.683624075284689,2.8997651080500764,8.088186048549415
NumGroups,w_max10_std,19.164091509122784,7.723245837655739,18.94907973876374
NumGroups,cp_fraction,24.63068125545457,14.797757250547749,33.93495998130076
NumGroups,recovery_rate,3.640523127605846,2.320888284718673,6.4151415086632
NumGroups,k_aero,1.8128388854802782,1.752781538802018,3.8466695329780287
NumGroups,c_roll,3.2069153280361604,2.288189180004931,6.155940394148639
NumGroups,ref_speed_frac,36.928043477011926,16.361124715850426,35.27081073181846
NumGroups,k_s,12.182671213363744,8.177135099505055,19.22924497323013
NumGroups,breakaway_speed_frac,7.553489553679954,6.954996901085053,16.647265116348475
NumGroups,breakaway_cooldown_steps,2.0801604609017135,1.5044549268216578,4.299912833313675
NumGroups,utility_decay,1.6093187634115096,1.5326132250826716,4.854705188875068
NumGroups,evo_noise,0.6882110664219013,0.43696104307710154,1.2669687692189875
NumGroups,sim_scale,0.0,0.0,0.0
NumGroups,evo_bottom_frac,2.705628932753482,2.4823824667192897,5.983234169600463
NumGroups,evo_top_frac,1.06343130201821,0.8307376557622153,2.1874956380055406
NumGroups,imitation_mu,1.1728018572177,0.9138223472080075,2.6520849042388046
NumGroups,n_agents,38.62570987999733,8.75246265941205,27.113494439510774
NumGroups,n_teams,2.611531116404971,3.068826891180086,7.5855876747691955
Breakaways,w_max10_mean,8.543687000220961,3.425967388116861,7.81760022965611
Breakaways,w_max10_std,25.691810542292625,10.361424458810959,33.30234873960424
Breakaways,cp_fraction,44.400625471007714,22.30354827664606,58.0289788433722
Breakaways,recovery_rate,5.015997571411579,3.101412207870383,8.49500315904556
Breakaways,k_aero,2.6799706675815633,2.5327846784663333,6.131099018668205
Breakaways,c_roll,4.655935485636428,2.888016547416389,8.209359494184561
Breakaways,ref_speed_frac,64.64593113300874,27.500888066789976,65.08449478780716
Breakaways,k_s,19.12941491626496,9.740795429759872,27.696031784123466
